"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia TAYACAJA (000)",98222,5399,15216,15338,10145,14768,12039,18964,6353
"Sabe leer y escribir (001)",75186,,10887,15195,10002,13988,10484,12465,2165
"No sabe leer y escribir (002)",23036,5399,4329,143,143,780,1555,6499,4188
"Hombres (004)",48652,2657,7720,7853,5237,7217,5829,9250,2889
"Sabe leer y escribir (005)",40504,,5560,7778,5192,7020,5507,7808,1639
"No sabe leer y escribir (006)",8148,2657,2160,75,45,197,322,1442,1250
"Mujeres (008)",49570,2742,7496,7485,4908,7551,6210,9714,3464
"Sabe leer y escribir (009)",34682,,5327,7417,4810,6968,4977,4657,526
"No sabe leer y escribir (010)",14888,2742,2169,68,98,583,1233,5057,2938
,,,,,,,,,
"URBANA (012)",24307,1115,3283,3672,2742,3677,3255,4936,1627
"Sabe leer y escribir (013)",20347,,2581,3648,2723,3579,3054,3954,808
"No sabe leer y escribir (014)",3960,1115,702,24,19,98,201,982,819
"Hombres (016)",12025,541,1641,1896,1477,1808,1534,2401,727
"Sabe leer y escribir (017)",10716,,1282,1886,1466,1784,1495,2252,551
"No sabe leer y escribir (018)",1309,541,359,10,11,24,39,149,176
"Mujeres (020)",12282,574,1642,1776,1265,1869,1721,2535,900
"Sabe leer y escribir (021)",9631,,1299,1762,1257,1795,1559,1702,257
"No sabe leer y escribir (022)",2651,574,343,14,8,74,162,833,643
,,,,,,,,,
"RURAL (024)",73915,4284,11933,11666,7403,11091,8784,14028,4726
"Sabe leer y escribir (025)",54839,,8306,11547,7279,10409,7430,8511,1357
"No sabe leer y escribir (026)",19076,4284,3627,119,124,682,1354,5517,3369
"Hombres (028)",36627,2116,6079,5957,3760,5409,4295,6849,2162
"Sabe leer y escribir (029)",29788,,4278,5892,3726,5236,4012,5556,1088
"No sabe leer y escribir (030)",6839,2116,1801,65,34,173,283,1293,1074
"Mujeres (032)",37288,2168,5854,5709,3643,5682,4489,7179,2564
"Sabe leer y escribir (033)",25051,,4028,5655,3553,5173,3418,2955,269
"No sabe leer y escribir (034)",12237,2168,1826,54,90,509,1071,4224,2295
