"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PATAZ (000)",24578,23880,7202,2583,2535,2317,3615,2720,1780,1128,698,75689
"De 12 a 14 años (001)",3041,3027,3013,11,3,,,,,,14,17
"De 15 a 19 años (002)",3448,3391,2826,465,84,16,,,,,57,681
"De 20 a 24 años (003)",2706,2494,652,871,635,266,66,4,,,212,3245
"De 25 a 29 años (004)",2508,2360,211,476,649,547,412,56,9,,148,5604
"De 30 a 34 años (005)",2294,2218,93,257,424,422,690,283,47,2,76,7608
"De 35 a 39 años (006)",2206,2174,52,121,251,373,704,462,174,37,32,9680
"De 40 a 44 años (007)",1654,1624,55,81,116,153,459,436,225,99,30,8586
"De 45 a 49 años (008)",1417,1400,35,71,88,147,325,319,259,156,17,8088
"De 50 y más años (009)",5304,5192,265,230,285,393,959,1160,1066,834,112,32180
"Sin nivel (010)",7154,6979,568,441,551,720,1437,1399,1074,789,175,37053
"De 12 a 14 años (011)",92,92,89,2,1,,,,,,,4
"De 15 a 19 años (012)",202,195,138,45,10,2,,,,,7,71
"De 20 a 24 años (013)",352,319,56,96,96,49,20,2,,,33,535
"De 25 a 29 años (014)",436,408,21,49,95,101,117,21,4,,28,1220
"De 30 a 34 años (015)",571,557,16,30,73,107,195,114,20,2,14,2274
"De 35 a 39 años (016)",715,708,14,20,50,99,219,197,85,24,7,3627
"De 40 a 44 años (017)",597,585,19,25,30,40,161,149,107,54,12,3371
"De 45 a 49 años (018)",605,597,21,26,21,47,105,145,134,98,8,3846
"De 50 y más años (019)",3584,3518,194,148,175,275,620,771,724,611,66,22105
"Educacion Inicial (020)",58,55,23,6,8,4,10,3,1,,3,106
"De 12 a 14 años (021)",16,16,16,,,,,,,,,
