"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia LIMA (000)",7605742,7537934,47760,20048
"Hombres (001)",3713471,3680543,22601,10327
"Mujeres (002)",3892271,3857391,25159,9721
"Menores de 1 año (003)",117970,100831,11963,5176
"Hombres (004)",60208,51529,6091,2588
"Mujeres (005)",57762,49302,5872,2588
"De 1 a 5 años (006)",637581,593936,29406,14239
"Hombres (007)",326048,303599,14955,7494
"Mujeres (008)",311533,290337,14451,6745
"De 6 a 14 años (009)",1147548,1146324,972,252
"Hombres (010)",582985,582373,499,113
"Mujeres (011)",564563,563951,473,139
"De 15 a 29 años (012)",2193335,2192843,390,102
"Hombres (013)",1073512,1073288,171,53
"Mujeres (014)",1119823,1119555,219,49
"De 30 a 44 años (015)",1720703,1720282,364,57
"Hombres (016)",827930,827787,117,26
"Mujeres (017)",892773,892495,247,31
"De 45 a 64 años (018)",1274285,1273503,716,66
"Hombres (019)",604600,604426,151,23
"Mujeres (020)",669685,669077,565,43
"De 65 a más años (021)",514320,510215,3949,156
"Hombres (022)",238188,237541,617,30
"Mujeres (023)",276132,272674,3332,126
,,,,
"URBANA (024)",7596058,7528397,47689,19972
"Hombres (025)",3708359,3675502,22567,10290
"Mujeres (026)",3887699,3852895,25122,9682
"Menores de 1 año (027)",117806,100694,11949,5163
"Hombres (028)",60133,51468,6084,2581
"Mujeres (029)",57673,49226,5865,2582
"De 1 a 5 años (030)",636553,593016,29359,14178
"Hombres (031)",325512,303116,14932,7464
"Mujeres (032)",311041,289900,14427,6714
"De 6 a 14 años (033)",1145843,1144620,972,251
"Hombres (034)",582138,581526,499,113
"Mujeres (035)",563705,563094,473,138
"De 15 a 29 años (036)",2190525,2190033,390,102
"Hombres (037)",1072035,1071811,171,53
"Mujeres (038)",1118490,1118222,219,49
"De 30 a 44 años (039)",1718641,1718221,363,57
"Hombres (040)",826789,826646,117,26
"Mujeres (041)",891852,891575,246,31
"De 45 a 64 años (042)",1272935,1272155,714,66
"Hombres (043)",603883,603709,151,23
"Mujeres (044)",669052,668446,563,43
"De 65 a más años (045)",513755,509658,3942,155
"Hombres (046)",237869,237226,613,30
"Mujeres (047)",275886,272432,3329,125
,,,,
"RURAL (048)",9684,9537,71,76
"Hombres (049)",5112,5041,34,37
"Mujeres (050)",4572,4496,37,39
"Menores de 1 año (051)",164,137,14,13
"Hombres (052)",75,61,7,7
"Mujeres (053)",89,76,7,6
"De 1 a 5 años (054)",1028,920,47,61
"Hombres (055)",536,483,23,30
"Mujeres (056)",492,437,24,31
"De 6 a 14 años (057)",1705,1704,,1
"Hombres (058)",847,847,,
"Mujeres (059)",858,857,,1
"De 15 a 29 años (060)",2810,2810,,
"Hombres (061)",1477,1477,,
"Mujeres (062)",1333,1333,,
"De 30 a 44 años (063)",2062,2061,1,
"Hombres (064)",1141,1141,,
"Mujeres (065)",921,920,1,
"De 45 a 64 años (066)",1350,1348,2,
"Hombres (067)",717,717,,
"Mujeres (068)",633,631,2,
"De 65 a más años (069)",565,557,7,1
"Hombres (070)",319,315,4,
"Mujeres (071)",246,242,3,1
