"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SATIPO (000)",70150,62832,3065,1451,2802
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",72,2,18,13,39
"Profes., científicos e intelectuales (002)",3075,1128,671,609,667
"Técnicos de nivel medio y trab. asimilados (003)",1149,692,127,75,255
"Jefes y empleados de oficina (004)",713,192,91,75,355
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5006,4682,179,42,103
"Agricult.trabaj.calif.agrop.y pesqueros (006)",26138,25683,434,20,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",2368,1768,228,149,223
"Obreros construc.,conf.,papel, fab., instr. (008)",3186,2707,203,143,133
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",26565,24767,1068,290,440
"Otra (010)",544,,,,544
"Ocupación no especificada (011)",1334,1211,46,35,42
"Hombres (012)",53836,48563,2275,984,2014
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",50,,14,7,29
"Profes., científicos e intelectuales (014)",1624,575,364,302,383
"Técnicos de nivel medio y trab. asimilados (015)",735,450,86,59,140
"Jefes y empleados de oficina (016)",327,74,41,34,178
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1899,1684,101,35,79
"Agricult.trabaj.calif.agrop.y pesqueros (018)",24073,23658,397,17,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",2059,1489,210,145,215
"Obreros construc.,conf.,papel, fab., instr. (020)",3093,2635,194,135,129
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",19191,17752,838,227,374
"Otra (022)",454,,,,454
"Ocupación no especificada (023)",331,246,30,23,32
"Mujeres (024)",16314,14269,790,467,788
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",22,2,4,6,10
"Profes., científicos e intelectuales (026)",1451,553,307,307,284
"Técnicos de nivel medio y trab. asimilados (027)",414,242,41,16,115
"Jefes y empleados de oficina (028)",386,118,50,41,177
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",3107,2998,78,7,24
"Agricult.trabaj.calif.agrop.y pesqueros (030)",2065,2025,37,3,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",309,279,18,4,8
"Obreros construc.,conf.,papel, fab., instr. (032)",93,72,9,8,4
