"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ATALAYA (000)",12955,9876,1552,603,924
"Sin nivel (001)",2311,2118,159,21,13
"Educación inicial (002)",97,71,23,3,
"Primaria (003)",4886,4168,465,107,146
"Secundaria (004)",3671,2641,516,192,322
"Superior no univ. incompleta (005)",470,266,82,57,65
"Superior no univ. completa (006)",742,308,155,86,193
"Superior univ. incompleta (007)",236,129,32,29,46
"Superior univ. completa (008)",542,175,120,108,139
"De 06 a 14 años (010)",843,712,123,7,1
"Sin nivel (011)",174,150,23,1,
"Educación inicial (012)",15,11,4,,
"Primaria (013)",594,500,88,5,1
"Secundaria (014)",60,51,8,1,
"De 15 a 29 años (020)",5157,3993,610,238,316
"Sin nivel (021)",597,553,37,4,3
"Educación inicial (022)",60,46,14,,
"Primaria (023)",1906,1669,162,43,32
"Secundaria (024)",1882,1383,260,101,138
"Superior no univ. incompleta (025)",239,127,46,35,31
"Superior no univ. completa (026)",260,111,54,22,73
"Superior univ. incompleta (027)",71,48,8,5,10
"Superior univ. completa (028)",142,56,29,28,29
"De 30 a 44 años (030)",4250,3010,555,263,422
"Sin nivel (031)",750,686,52,7,5
"Educación inicial (032)",22,14,5,3,
"Primaria (033)",1352,1131,129,33,59
"Secundaria (034)",1173,803,176,67,127
"Superior no univ. incompleta (035)",166,96,27,15,28
"Superior no univ. completa (036)",375,143,77,55,100
"Superior univ. incompleta (037)",120,61,18,17,24
"Superior univ. completa (038)",292,76,71,66,79
"De 45 a 64 años (040)",2379,1868,247,90,174
"Sin nivel (041)",663,612,40,7,4
"Primaria (043)",881,728,80,26,47
"Secundaria (044)",521,376,69,21,55
"Superior no univ. incompleta (045)",62,42,8,6,6
"Superior no univ. completa (046)",103,50,24,9,20
"Superior univ. incompleta (047)",41,17,6,7,11
"Superior univ. completa (048)",108,43,20,14,31
"De 65 y más años (050)",326,293,17,5,11
"Sin nivel (051)",127,117,7,2,1
"Primaria (053)",153,140,6,,7
"Secundaria (054)",35,28,3,2,2
"Superior no univ. incompleta (055)",3,1,1,1,
"Superior no univ. completa (056)",4,4,,,
"Superior univ. incompleta (057)",4,3,,,1
,,,,,
"URBANA (060)",5393,3429,669,461,834
"Sin nivel (061)",173,141,13,6,13
