"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia QUISPICANCHI (000)",28394,27093,8074,2996,2982,2777,4350,2881,1710,1323,1301,84439
"De 12 a 14 años (001)",3227,3198,3188,9,1,,,,,,29,11
"De 15 a 19 años (002)",3720,3602,3143,391,55,10,3,,,,118,543
"De 20 a 24 años (003)",3201,2732,876,1001,571,209,65,10,,,469,3107
"De 25 a 29 años (004)",2871,2574,189,605,688,572,467,47,6,,297,6049
"De 30 a 34 años (005)",2522,2428,87,281,506,531,725,245,47,6,94,8075
"De 35 a 39 años (006)",2475,2415,62,180,377,407,738,440,178,33,60,10124
"De 40 a 44 años (007)",2089,2044,60,73,201,290,582,446,275,117,45,10369
"De 45 a 49 años (008)",1754,1723,38,87,147,203,436,377,248,187,31,9531
"De 50 y más años (009)",6535,6377,431,369,436,555,1334,1316,956,980,158,36630
"Conviviente (010)",6616,6327,476,1726,1408,939,993,472,205,108,289,17623
"De 12 a 14 años (011)",34,13,8,5,,,,,,,21,5
"De 15 a 19 años (012)",579,484,125,313,41,3,2,,,,95,412
"De 20 a 24 años (013)",1530,1442,154,739,383,129,31,6,,,88,2059
"De 25 a 29 años (014)",1410,1364,75,395,427,277,175,13,2,,46,2932
"De 30 a 34 años (015)",980,965,29,130,264,226,240,61,11,4,15,2885
"De 35 a 39 años (016)",715,709,15,53,152,143,214,94,32,6,6,2660
"De 40 a 44 años (017)",509,504,16,21,60,88,145,107,53,14,5,2324
"De 45 a 49 años (018)",333,330,8,25,37,33,79,87,32,29,3,1695
"De 50 y más años (019)",526,516,46,45,44,40,107,104,75,55,10,2651
"Separado(a) (020)",778,758,13,291,150,99,106,56,22,21,20,2135
"De 12 a 14 años (021)",4,1,,1,,,,,,,3,1
"De 15 a 19 años (022)",41,36,1,33,2,,,,,,5,37
