"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia AMBO (000)",948,34,473,262,147,32
"Conviviente (001)",227,,79,105,40,3
"Separado(a) (002)",15,,4,8,3,
"Casado(a) (003)",185,,17,75,70,23
"Viudo(a) (004)",16,,,2,10,4
"Divorciado(a) (005)",3,,,2,1,
"Soltero(a) (006)",502,34,373,70,23,2
"Hombres (008)",734,17,330,220,136,31
"Conviviente (009)",197,,61,96,37,3
"Separado(a) (010)",6,,,3,3,
"Casado(a) (011)",168,,14,66,65,23
"Viudo(a) (012)",13,,,1,9,3
"Divorciado(a) (013)",2,,,1,1,
"Soltero(a) (014)",348,17,255,53,21,2
"Mujeres (016)",214,17,143,42,11,1
"Conviviente (017)",30,,18,9,3,
"Separado(a) (018)",9,,4,5,,
"Casado(a) (019)",17,,3,9,5,
"Viudo(a) (020)",3,,,1,1,1
"Divorciado(a) (021)",1,,,1,,
"Soltero(a) (022)",154,17,118,17,2,
,,,,,,
"AREA URBANA (024)",504,8,244,157,79,16
"Conviviente (025)",123,,44,58,21,
"Separado(a) (026)",12,,4,5,3,
"Casado(a) (027)",98,,10,42,35,11
"Viudo(a) (028)",9,,,2,4,3
"Divorciado(a) (029)",2,,,1,1,
"Soltero(a) (030)",260,8,186,49,15,2
"Hombres (032)",389,4,175,124,71,15
"Conviviente (033)",104,,34,51,19,
"Separado(a) (034)",4,,,1,3,
"Casado(a) (035)",84,,8,34,31,11
"Viudo(a) (036)",6,,,1,3,2
"Divorciado(a) (037)",1,,,,1,
"Soltero(a) (038)",190,4,133,37,14,2
"Mujeres (040)",115,4,69,33,8,1
"Conviviente (041)",19,,10,7,2,
"Separado(a) (042)",8,,4,4,,
"Casado(a) (043)",14,,2,8,4,
"Viudo(a) (044)",3,,,1,1,1
"Divorciado(a) (045)",1,,,1,,
"Soltero(a) (046)",70,4,53,12,1,
,,,,,,
"AREA RURAL (048)",444,26,229,105,68,16
"Conviviente (049)",104,,35,47,19,3
"Separado(a) (050)",3,,,3,,
"Casado(a) (051)",87,,7,33,35,12
"Viudo(a) (052)",7,,,,6,1
"Divorciado(a) (053)",1,,,1,,
"Soltero(a) (054)",242,26,187,21,8,
"Hombres (056)",345,13,155,96,65,16
"Conviviente (057)",93,,27,45,18,3
"Separado(a) (058)",2,,,2,,
"Casado(a) (059)",84,,6,32,34,12
"Viudo(a) (060)",7,,,,6,1
"Divorciado(a) (061)",1,,,1,,
"Soltero(a) (062)",158,13,122,16,7,
"Mujeres (064)",99,13,74,9,3,
"Conviviente (065)",11,,8,2,1,
"Separado(a) (066)",1,,,1,,
"Casado(a) (067)",3,,1,1,1,
"Soltero(a) (070)",84,13,65,5,1,
