"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia AIJA (000)",2904,2839,719,297,314,307,482,318,215,187,65,10001
"De 12 a 14 años (001)",252,252,250,1,1,,,,,,,3
"De 15 a 19 años (002)",340,339,289,46,4,,,,,,1,54
"De 20 a 24 años (003)",291,267,83,92,61,27,4,,,,24,311
"De 25 a 29 años (004)",245,226,35,58,50,51,28,4,,,19,460
"De 30 a 34 años (005)",230,224,16,27,49,44,70,15,3,,6,684
"De 35 a 39 años (006)",236,233,5,19,45,54,68,29,12,1,3,858
"De 40 a 44 años (007)",197,195,9,12,24,36,51,46,13,4,2,838
"De 45 a 49 años (008)",205,203,6,11,16,25,62,44,23,16,2,1048
"De 50 y más años (009)",908,900,26,31,64,70,199,180,164,166,8,5745
"Sin nivel (010)",485,477,28,24,43,37,112,92,61,80,8,2781
"De 12 a 14 años (011)",3,3,3,,,,,,,,,
"De 15 a 19 años (012)",15,15,12,3,,,,,,,,3
"De 20 a 24 años (013)",22,21,3,4,7,5,2,,,,1,41
"De 25 a 29 años (014)",12,9,1,1,1,2,4,,,,3,27
"De 30 a 34 años (015)",31,30,3,2,5,3,12,3,2,,1,111
"De 35 a 39 años (016)",36,36,1,2,5,7,14,6,1,,,140
"De 40 a 44 años (017)",33,32,1,2,5,2,7,12,2,1,1,153
"De 45 a 49 años (018)",28,28,,1,2,1,12,4,4,4,,165
"De 50 y más años (019)",305,303,4,9,18,17,61,67,52,75,2,2141
"Educacion Inicial (020)",2,1,,1,,,,,,,1,1
"De 20 a 24 años (023)",2,1,,1,,,,,,,1,1
"Primaria (030)",1136,1125,196,82,95,130,231,173,128,90,11,4898
"De 12 a 14 años (031)",116,116,115,,1,,,,,,,2
"De 15 a 19 años (032)",60,60,40,18,2,,,,,,,22
