"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PICOTA (000)",325,16,162,88,49,10
"Sin nivel (001)",8,,4,3,1,
"Primaria (003)",141,14,48,41,29,9
"Secundaria (004)",132,2,83,33,13,1
"Superior no univ. incompleta (005)",10,,8,2,,
"Superior no univ. completa (006)",27,,16,7,4,
"Superior univ. completa (008)",7,,3,2,2,
"Hombres (010)",242,13,112,68,41,8
"Sin nivel (011)",7,,3,3,1,
"Primaria (013)",107,12,34,30,24,7
"Secundaria (014)",98,1,59,26,11,1
"Superior no univ. incompleta (015)",5,,3,2,,
"Superior no univ. completa (016)",21,,11,6,4,
"Superior univ. completa (018)",4,,2,1,1,
"Mujeres (020)",83,3,50,20,8,2
"Sin nivel (021)",1,,1,,,
"Primaria (023)",34,2,14,11,5,2
"Secundaria (024)",34,1,24,7,2,
"Superior no univ. incompleta (025)",5,,5,,,
"Superior no univ. completa (026)",6,,5,1,,
"Superior univ. completa (028)",3,,1,1,1,
,,,,,,
"Area Urbana (030)",276,11,133,80,42,10
"Sin nivel (031)",8,,4,3,1,
"Primaria (033)",105,9,31,34,22,9
"Secundaria (034)",124,2,75,33,13,1
"Superior no univ. incompleta (035)",9,,8,1,,
"Superior no univ. completa (036)",23,,12,7,4,
"Superior univ. completa (038)",7,,3,2,2,
"Hombres (040)",208,10,93,62,35,8
"Sin nivel (041)",7,,3,3,1,
"Primaria (043)",82,9,23,25,18,7
"Secundaria (044)",92,1,53,26,11,1
"Superior no univ. incompleta (045)",4,,3,1,,
"Superior no univ. completa (046)",19,,9,6,4,
"Superior univ. completa (048)",4,,2,1,1,
"Mujeres (050)",68,1,40,18,7,2
"Sin nivel (051)",1,,1,,,
"Primaria (053)",23,,8,9,4,2
"Secundaria (054)",32,1,22,7,2,
"Superior no univ. incompleta (055)",5,,5,,,
"Superior no univ. completa (056)",4,,3,1,,
"Superior univ. completa (058)",3,,1,1,1,
,,,,,,
"Area Rural (060)",49,5,29,8,7,
"Primaria (063)",36,5,17,7,7,
"Secundaria (064)",8,,8,,,
"Superior no univ. incompleta (065)",1,,,1,,
"Superior no univ. completa (066)",4,,4,,,
"Hombres (070)",34,3,19,6,6,
"Primaria (073)",25,3,11,5,6,
"Secundaria (074)",6,,6,,,
"Superior no univ. incompleta (075)",1,,,1,,
"Superior no univ. completa (076)",2,,2,,,
"Mujeres (080)",15,2,10,2,1,
"Primaria (083)",11,2,6,2,1,
"Secundaria (084)",2,,2,,,
"Superior no univ. completa (086)",2,,2,,,
