"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PISCO (000)",45355,10652,16180,15610,686,1572,655
"Agric., ganadería, caza y silvicultura (001)",10274,111,5970,3213,206,774,
"Pesca (002)",1826,55,424,1298,36,13,
"Explotación de minas y canteras (003)",302,104,181,16,,1,
"Industrias manufactureras (004)",5283,643,3682,887,48,23,
"Suministro de electricidad, gas y agua (005)",136,37,90,6,2,1,
"Construcción (006)",3708,166,2635,842,47,18,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",7315,1169,632,4823,167,524,
"Venta, mant.y rep. veh.autom y motoc. (008)",1118,168,422,485,34,9,
"Comercio al por mayor (009)",473,179,86,161,19,28,
"Comercio al por menor (010)",5724,822,124,4177,114,487,
"Hoteles y restaurantes (011)",1819,624,177,861,62,95,
"Trans., almac. y comunicaciones (012)",4417,887,1008,2445,45,32,
"Intermediación financiera (013)",183,174,3,6,,,
"Activid.inmobil., empres. y alquileres (014)",2288,1604,326,320,27,11,
"Admin.pub. y defensa; p. segur soc.afil (015)",1872,1574,298,,,,
"Enseñanza (016)",2182,2095,3,74,8,2,
"Servicios sociales y de salud (017)",773,642,12,107,11,1,
"Otras activ. serv.comun.soc y personales (018)",1214,495,265,424,15,15,
"Hogares privados con servicio doméstico (019)",655,,,,,,655
"Organiz. y organos extraterritoriales (020)",5,5,,,,,
"Actividad economica no especificada (021)",1103,267,474,288,12,62,
"Hombres (022)",31875,6399,13013,11190,503,691,79
"Agric., ganadería, caza y silvicultura (023)",7807,88,4353,2758,169,439,
"Pesca (024)",1746,40,394,1264,36,12,
"Explotación de minas y canteras (025)",294,101,176,16,,1,
"Industrias manufactureras (026)",3923,511,2672,681,44,15,
"Suministro de electricidad, gas y agua (027)",127,34,84,6,2,1,
"Construcción (028)",3604,145,2574,826,46,13,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",3807,598,610,2380,96,123,
"Venta, mant.y rep. veh.autom y motoc. (030)",1035,116,415,468,30,6,
"Comercio al por mayor (031)",312,117,82,92,15,6,
"Comercio al por menor (032)",2460,365,113,1820,51,111,
"Hoteles y restaurantes (033)",500,208,74,169,24,25,
"Trans., almac. y comunicaciones (034)",4148,705,987,2392,39,25,
"Intermediación financiera (035)",102,97,3,2,,,
"Activid.inmobil., empres. y alquileres (036)",1859,1283,283,262,23,8,
"Admin.pub. y defensa; p. segur soc.afil (037)",1472,1283,189,,,,
"Enseñanza (038)",683,648,3,27,5,,
"Servicios sociales y de salud (039)",282,212,7,57,6,,
"Otras activ. serv.comun.soc y personales (040)",756,296,227,216,7,10,
"Hogares privados con servicio doméstico (041)",79,,,,,,79
"Organiz. y organos extraterritoriales (042)",2,2,,,,,
"Actividad economica no especificada (043)",684,148,377,134,6,19,
"Mujeres (044)",13480,4253,3167,4420,183,881,576
"Agric., ganadería, caza y silvicultura (045)",2467,23,1617,455,37,335,
"Pesca (046)",80,15,30,34,,1,
"Explotación de minas y canteras (047)",8,3,5,,,,
"Industrias manufactureras (048)",1360,132,1010,206,4,8,
"Suministro de electricidad, gas y agua (049)",9,3,6,,,,
"Construcción (050)",104,21,61,16,1,5,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",3508,571,22,2443,71,401,
"Venta, mant.y rep. veh.autom y motoc. (052)",83,52,7,17,4,3,
"Comercio al por mayor (053)",161,62,4,69,4,22,
"Comercio al por menor (054)",3264,457,11,2357,63,376,
"Hoteles y restaurantes (055)",1319,416,103,692,38,70,
"Trans., almac. y comunicaciones (056)",269,182,21,53,6,7,
"Intermediación financiera (057)",81,77,,4,,,
"Activid.inmobil., empres. y alquileres (058)",429,321,43,58,4,3,
"Admin.pub. y defensa; p. segur soc.afil (059)",400,291,109,,,,
"Enseñanza (060)",1499,1447,,47,3,2,
"Servicios sociales y de salud (061)",491,430,5,50,5,1,
"Otras activ. serv.comun.soc y personales (062)",458,199,38,208,8,5,
"Hogares privados con servicio doméstico (063)",576,,,,,,576
"Organiz. y organos extraterritoriales (064)",3,3,,,,,
"Actividad economica no especificada (065)",419,119,97,154,6,43,
,,,,,,,
"URBANA (066)",39602,10099,13807,13391,609,1076,620
"Agric., ganadería, caza y silvicultura (067)",6042,93,4004,1489,141,315,
"Pesca (068)",1796,53,414,1280,36,13,
"Explotación de minas y canteras (069)",279,89,174,15,,1,
"Industrias manufactureras (070)",5083,619,3540,855,47,22,
"Suministro de electricidad, gas y agua (071)",128,35,86,5,2,,
"Construcción (072)",3573,160,2547,801,47,18,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",7060,1122,613,4659,159,507,
"Venta, mant.y rep. veh.autom y motoc. (074)",1048,148,404,456,31,9,
"Comercio al por mayor (075)",461,175,86,154,18,28,
"Comercio al por menor (076)",5551,799,123,4049,110,470,
"Hoteles y restaurantes (077)",1757,611,161,836,61,88,
"Trans., almac. y comunicaciones (078)",4179,843,963,2298,44,31,
"Intermediación financiera (079)",180,171,3,6,,,
"Activid.inmobil., empres. y alquileres (080)",2112,1456,309,309,27,11,
"Admin.pub. y defensa; p. segur soc.afil (081)",1788,1502,286,,,,
"Enseñanza (082)",2092,2009,3,70,8,2,
"Servicios sociales y de salud (083)",728,605,8,103,11,1,
"Otras activ. serv.comun.soc y personales (084)",1168,464,258,416,15,15,
"Hogares privados con servicio doméstico (085)",620,,,,,,620
"Organiz. y organos extraterritoriales (086)",5,5,,,,,
"Actividad economica no especificada (087)",1012,262,438,249,11,52,
"Hombres (088)",27359,6006,11142,9309,435,399,68
"Agric., ganadería, caza y silvicultura (089)",4367,70,2802,1227,111,157,
"Pesca (090)",1718,38,385,1247,36,12,
"Explotación de minas y canteras (091)",272,86,170,15,,1,
"Industrias manufactureras (092)",3786,493,2580,655,43,15,
"Suministro de electricidad, gas y agua (093)",119,32,80,5,2,,
"Construcción (094)",3471,139,2487,786,46,13,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",3667,575,592,2291,90,119,
"Venta, mant.y rep. veh.autom y motoc. (096)",973,103,398,439,27,6,
"Comercio al por mayor (097)",307,116,82,89,14,6,
"Comercio al por menor (098)",2387,356,112,1763,49,107,
"Hoteles y restaurantes (099)",483,205,67,165,23,23,
"Trans., almac. y comunicaciones (100)",3916,664,943,2247,38,24,
"Intermediación financiera (101)",101,96,3,2,,,
"Activid.inmobil., empres. y alquileres (102)",1694,1144,266,253,23,8,
"Admin.pub. y defensa; p. segur soc.afil (103)",1405,1224,181,,,,
"Enseñanza (104)",652,619,3,25,5,,
"Servicios sociales y de salud (105)",267,202,5,54,6,,
"Otras activ. serv.comun.soc y personales (106)",722,273,221,211,7,10,
"Hogares privados con servicio doméstico (107)",68,,,,,,68
"Organiz. y organos extraterritoriales (108)",2,2,,,,,
"Actividad economica no especificada (109)",649,144,357,126,5,17,
"Mujeres (110)",12243,4093,2665,4082,174,677,552
