"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
"De 25 a 29 años (044)",6390,,,,,175,3299,2916
"De 30 a 34 años (045)",5453,,,,1,691,3202,1559
"De 35 a 39 años (046)",4653,,,,27,1195,2392,1039
"De 40 a 44 años (047)",3717,,,,229,1415,1254,819
"De 45 a 49 años (048)",3284,,,16,668,1465,464,671
"De 50 y más años (049)",17303,675,2003,3942,4155,1454,72,5002
,,,,,,,,
"URBANA (060)",101222,700,2290,5602,10720,17962,28898,35050
"De 12 a 14 años (061)",162,,,,,,6,156
"De 15 a 19 años (062)",1630,,,,,,768,862
"De 20 a 24 años (063)",11188,,,,,16,4053,7119
"De 25 a 29 años (064)",14861,,,,,517,6638,7706
"De 30 a 34 años (065)",13858,,,,2,1867,7232,4757
"De 35 a 39 años (066)",12729,,,,94,3619,5829,3187
"De 40 a 44 años (067)",10727,,,,733,4487,3174,2333
"De 45 a 49 años (068)",8975,,,44,1909,4195,1045,1782
"De 50 y más años (069)",27092,700,2290,5558,7982,3261,153,7148
"PEA (070)",55819,40,338,1774,5889,12065,16453,19260
"De 12 a 14 años (071)",23,,,,,,1,22
"De 15 a 19 años (072)",620,,,,,,303,317
"De 20 a 24 años (073)",5371,,,,,10,1858,3503
"De 25 a 29 años (074)",8812,,,,,351,3592,4869
"De 30 a 34 años (075)",8779,,,,1,1237,4269,3272
"De 35 a 39 años (076)",8421,,,,68,2508,3655,2190
"De 40 a 44 años (077)",7311,,,,520,3190,2052,1549
"De 45 a 49 años (078)",5925,,,30,1264,2841,633,1157
"De 50 y más años (079)",10557,40,338,1744,4036,1928,90,2381
"Ocupada (080)",53861,39,337,1745,5774,11793,15774,18399
"De 12 a 14 años (081)",20,,,,,,,20
"De 15 a 19 años (082)",566,,,,,,276,290
"De 20 a 24 años (083)",5027,,,,,10,1735,3282
"De 25 a 29 años (084)",8343,,,,,332,3424,4587
"De 30 a 34 años (085)",8452,,,,1,1185,4128,3138
"De 35 a 39 años (086)",8144,,,,64,2458,3512,2110
"De 40 a 44 años (087)",7141,,,,510,3133,1991,1507
"De 45 a 49 años (088)",5791,,,30,1235,2777,619,1130
"De 50 y más años (089)",10377,39,337,1715,3964,1898,89,2335
"Desocupada (090)",1958,1,1,29,115,272,679,861
"De 12 a 14 años (091)",3,,,,,,1,2
"De 15 a 19 años (092)",54,,,,,,27,27
"De 20 a 24 años (093)",344,,,,,,123,221
"De 25 a 29 años (094)",469,,,,,19,168,282
"De 30 a 34 años (095)",327,,,,,52,141,134
"De 35 a 39 años (096)",277,,,,4,50,143,80
"De 40 a 44 años (097)",170,,,,10,57,61,42
"De 45 a 49 años (098)",134,,,,29,64,14,27
"De 50 y más años (099)",180,1,1,29,72,30,1,46
"No PEA (100)",45403,660,1952,3828,4831,5897,12445,15790
"De 12 a 14 años (101)",139,,,,,,5,134
"De 15 a 19 años (102)",1010,,,,,,465,545
"De 20 a 24 años (103)",5817,,,,,6,2195,3616
"De 25 a 29 años (104)",6049,,,,,166,3046,2837
"De 30 a 34 años (105)",5079,,,,1,630,2963,1485
"De 35 a 39 años (106)",4308,,,,26,1111,2174,997
"De 40 a 44 años (107)",3416,,,,213,1297,1122,784
"De 45 a 49 años (108)",3050,,,14,645,1354,412,625
"De 50 y más años (109)",16535,660,1952,3814,3946,1333,63,4767
,,,,,,,,
"RURAL (120)",3989,17,58,171,378,809,1590,966
"De 12 a 14 años (121)",7,,,,,,,7
"De 15 a 19 años (122)",92,,,,,,50,42
"De 20 a 24 años (123)",373,,,,,,216,157
"De 25 a 29 años (124)",520,,,,,12,377,131
"De 30 a 34 años (125)",571,,,,,107,355,109
"De 35 a 39 años (126)",542,,,,3,146,315,78
"De 40 a 44 años (127)",471,,,,27,198,186,60
"De 45 a 49 años (128)",355,,,3,39,174,76,63
"De 50 y más años (129)",1058,17,58,168,309,172,15,319
"PEA (130)",1303,2,7,41,129,305,496,323
"De 12 a 14 años (131)",2,,,,,,,2
"De 15 a 19 años (132)",29,,,,,,12,17
"De 20 a 24 años (133)",118,,,,,,63,55
"De 25 a 29 años (134)",179,,,,,3,124,52
"De 30 a 34 años (135)",197,,,,,46,116,35
"De 35 a 39 años (136)",197,,,,2,62,97,36
"De 40 a 44 años (137)",170,,,,11,80,54,25
"De 45 a 49 años (138)",121,,,1,16,63,24,17
"De 50 y más años (139)",290,2,7,40,100,51,6,84
"Ocupada (140)",1289,2,7,41,129,301,491,318
"De 12 a 14 años (141)",2,,,,,,,2
"De 15 a 19 años (142)",29,,,,,,12,17
"De 20 a 24 años (143)",115,,,,,,61,54
"De 25 a 29 años (144)",176,,,,,3,124,49
"De 30 a 34 años (145)",195,,,,,45,116,34
"De 35 a 39 años (146)",197,,,,2,62,97,36
"De 40 a 44 años (147)",166,,,,11,78,52,25
"De 45 a 49 años (148)",119,,,1,16,62,23,17
"De 50 y más años (149)",290,2,7,40,100,51,6,84
"Desocupada (150)",14,,,,,4,5,5
"De 20 a 24 años (153)",3,,,,,,2,1
"De 25 a 29 años (154)",3,,,,,,,3
"De 30 a 34 años (155)",2,,,,,1,,1
"De 40 a 44 años (157)",4,,,,,2,2,
"De 45 a 49 años (158)",2,,,,,1,1,
"No PEA (160)",2686,15,51,130,249,504,1094,643
"De 12 a 14 años (161)",5,,,,,,,5
"De 15 a 19 años (162)",63,,,,,,38,25
"De 20 a 24 años (163)",255,,,,,,153,102
"De 25 a 29 años (164)",341,,,,,9,253,79
"De 30 a 34 años (165)",374,,,,,61,239,74
"De 35 a 39 años (166)",345,,,,1,84,218,42
"De 40 a 44 años (167)",301,,,,16,118,132,35
"De 45 a 49 años (168)",234,,,2,23,111,52,46
"De 50 y más años (169)",768,15,51,128,209,121,9,235
