"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia MOYOBAMBA (000)",39240,102540,94080,,2367,91.7,2.3
"De 12 a 14 años (001)",4287,35,34,,9,97.1,25.7
"De 15 a 19 años (002)",5987,1644,1620,401,98.5,24.4,
"De 20 a 24 años (003)",5049,5536,5408,612,97.7,11.1,
"De 25 a 29 años (004)",4730,8951,8711,574,97.3,6.4,
"De 30 a 34 años (005)",4132,11249,10871,422,96.6,3.8,
"De 35 a 39 años (006)",3579,12572,12006,241,95.5,1.9,
"De 40 a 44 años (007)",2936,12555,11870,89,94.5,0.7,
"De 45 a 49 años (008)",2253,11110,10282,18,92.5,0.2,
"De 50 y más años (009)",6287,38888,33278,1,85.6,,
"Conviviente (010)",13423,37992,35722,1459,94,3.8,
"De 12 a 14 años (011)",120,19,18,6,94.7,31.6,
"De 15 a 19 años (012)",1581,1165,1149,281,98.6,24.1,
"De 20 a 24 años (013)",2668,3705,3617,428,97.6,11.6,
"De 25 a 29 años (014)",2566,5344,5203,359,97.4,6.7,
"De 30 a 34 años (015)",2000,5843,5652,216,96.7,3.7,
"De 35 a 39 años (016)",1565,5935,5665,122,95.5,2.1,
"De 40 a 44 años (017)",1078,5014,4721,38,94.2,0.8,
"De 45 a 49 años (018)",709,3766,3445,9,91.5,0.2,
"De 50 y más años (019)",1136,7201,6252,,86.8,,
"Separado(a) (020)",1468,5099,4683,99,91.8,1.9,
"De 12 a 14 años (021)",4,2,2,1,100,50,
"De 15 a 19 años (022)",89,83,83,28,100,33.7,
"De 20 a 24 años (023)",199,289,282,28,97.6,9.7,
"De 25 a 29 años (024)",148,265,260,15,98.1,5.7,
"De 30 a 34 años (025)",179,445,433,13,97.3,2.9,
"De 35 a 39 años (026)",170,533,517,11,97,2.1,
"De 40 a 44 años (027)",176,729,702,3,96.3,0.4,
"De 45 a 49 años (028)",135,580,545,,94,,
"De 50 y más años (029)",368,2173,1859,,85.5,,
"Casado(a) (030)",10753,45921,42091,657,91.7,1.4,
"De 12 a 14 años (031)",5,1,1,1,100,100,
"De 15 a 19 años (032)",203,160,157,30,98.1,18.8,
"De 20 a 24 años (033)",704,1118,1094,119,97.9,10.6,
"De 25 a 29 años (034)",1210,2825,2741,175,97,6.2,
"De 30 a 34 años (035)",1472,4412,4256,176,96.5,4,
