"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia POMABAMBA (000)",26007,1348,3648,3836,2823,3790,3140,5324,2098
"Sin nivel (001)",7545,1348,331,79,175,607,871,2591,1543
"Educación inicial (002)",1079,,1014,23,7,14,21,,
"Primaria (003)",9919,,2303,2975,737,1031,1022,1462,389
"Secundaria (004)",4728,,,759,1761,1186,463,481,78
"Superior no univ. incompleto (005)",674,,,,95,396,103,76,4
"Superior no univ. completo (006)",1180,,,,,303,426,412,39
"Superior univ. incompleto (007)",320,,,,48,144,59,61,8
"Superior univ. completo (008)",562,,,,,109,175,241,37
"Hombres (010)",12539,698,1789,1959,1371,1809,1517,2521,875
"Sin nivel (011)",2556,698,178,28,39,142,216,757,498
"Educación inicial (012)",532,,497,16,6,3,10,,
"Primaria (013)",5215,,1114,1512,326,486,555,959,263
"Secundaria (014)",2670,,,403,934,672,286,322,53
"Superior no univ. incompleto (015)",379,,,,45,226,60,45,3
"Superior no univ. completo (016)",657,,,,,152,247,233,25
"Superior univ. incompleto (017)",186,,,,21,77,39,42,7
"Superior univ. completo (018)",344,,,,,51,104,163,26
"Mujeres (020)",13468,650,1859,1877,1452,1981,1623,2803,1223
"Sin nivel (021)",4989,650,153,51,136,465,655,1834,1045
"Educación inicial (022)",547,,517,7,1,11,11,,
"Primaria (023)",4704,,1189,1463,411,545,467,503,126
"Secundaria (024)",2058,,,356,827,514,177,159,25
"Superior no univ. incompleto (025)",295,,,,50,170,43,31,1
"Superior no univ. completo (026)",523,,,,,151,179,179,14
"Superior univ. incompleto (027)",134,,,,27,67,20,19,1
"Superior univ. completo (028)",218,,,,,58,71,78,11
,,,,,,,,,
"URBANA (030)",5763,229,666,676,640,959,855,1305,433
"Sin nivel (031)",741,229,33,4,22,34,43,208,168
"Educación inicial (032)",183,,167,7,2,6,1,,
"Primaria (033)",1563,,466,400,68,91,141,253,144
"Secundaria (034)",1471,,,265,475,286,156,239,50
"Superior no univ. incompleto (035)",378,,,,49,210,59,56,4
"Superior no univ. completo (036)",788,,,,,174,280,305,29
"Superior univ. incompleto (037)",199,,,,24,81,41,47,6
"Superior univ. completo (038)",440,,,,,77,134,197,32
"Hombres (040)",2799,123,321,332,311,453,432,639,188
"Sin nivel (041)",242,123,17,2,8,8,7,40,37
"Educación inicial (042)",86,,79,4,2,1,,,
"Primaria (043)",735,,225,203,31,28,52,121,75
"Secundaria (044)",759,,,123,240,150,85,132,29
"Superior no univ. incompleto (045)",199,,,,21,113,31,31,3
"Superior no univ. completo (046)",413,,,,,81,156,159,17
"Superior univ. incompleto (047)",107,,,,9,37,25,30,6
"Superior univ. completo (048)",258,,,,,35,76,126,21
"Mujeres (050)",2964,106,345,344,329,506,423,666,245
"Sin nivel (051)",499,106,16,2,14,26,36,168,131
"Educación inicial (052)",97,,88,3,,5,1,,
"Primaria (053)",828,,241,197,37,63,89,132,69
"Secundaria (054)",712,,,142,235,136,71,107,21
"Superior no univ. incompleto (055)",179,,,,28,97,28,25,1
"Superior no univ. completo (056)",375,,,,,93,124,146,12
"Superior univ. incompleto (057)",92,,,,15,44,16,17,
"Superior univ. completo (058)",182,,,,,42,58,71,11
,,,,,,,,,
"RURAL (060)",20244,1119,2982,3160,2183,2831,2285,4019,1665
"Sin nivel (061)",6804,1119,298,75,153,573,828,2383,1375
"Educación inicial (062)",896,,847,16,5,8,20,,
"Primaria (063)",8356,,1837,2575,669,940,881,1209,245
"Secundaria (064)",3257,,,494,1286,900,307,242,28
"Superior no univ. incompleto (065)",296,,,,46,186,44,20,
"Superior no univ. completo (066)",392,,,,,129,146,107,10
"Superior univ. incompleto (067)",121,,,,24,63,18,14,2
"Superior univ. completo (068)",122,,,,,32,41,44,5
"Hombres (070)",9740,575,1468,1627,1060,1356,1085,1882,687
"Sin nivel (071)",2314,575,161,26,31,134,209,717,461
"Educación inicial (072)",446,,418,12,4,2,10,,
"Primaria (073)",4480,,889,1309,295,458,503,838,188
"Secundaria (074)",1911,,,280,694,522,201,190,24
"Superior no univ. incompleto (075)",180,,,,24,113,29,14,
"Superior no univ. completo (076)",244,,,,,71,91,74,8
"Superior univ. incompleto (077)",79,,,,12,40,14,12,1
"Superior univ. completo (078)",86,,,,,16,28,37,5
"Mujeres (080)",10504,544,1514,1533,1123,1475,1200,2137,978
"Sin nivel (081)",4490,544,137,49,122,439,619,1666,914
"Educación inicial (082)",450,,429,4,1,6,10,,
"Primaria (083)",3876,,948,1266,374,482,378,371,57
"Secundaria (084)",1346,,,214,592,378,106,52,4
"Superior no univ. incompleto (085)",116,,,,22,73,15,6,
"Superior no univ. completo (086)",148,,,,,58,55,33,2
"Superior univ. incompleto (087)",42,,,,12,23,4,2,1
"Superior univ. completo (088)",36,,,,,16,13,7,
