"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SANTIAGO DE CHUCO (000)",15400,5256,10144
"Casa independiente (001)",14814,5035,9779
"Departamento en edificio (002)",106,106,
"Vivienda en quinta (003)",11,11,
"Vivienda en casa de vecindad (004)",90,90,
"Choza o cabaña (005)",364,,364
"Vivienda improvisada (006)",7,7,
"Local no dest.para hab. humana (007)",8,7,1
