"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia EL COLLAO (000)",26107,78773,7139,23266,18968,55507
"Casa independiente (001)",25053,75981,7047,22929,18006,53052
"Departamento en edificio (002)",16,50,16,50,,
"Vivienda en quinta (003)",26,111,26,111,,
"Vivienda en casa de vecindad (004)",35,119,35,119,,
"Choza o cabaña (005)",951,2437,,,951,2437
"Vivienda improvisada (006)",5,24,5,24,,
"Local no dest.para hab. humana (007)",17,42,9,32,8,10
"Otro tipo (008)",4,9,1,1,3,8
