"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LA UNION (000)",4296,4191,19,556,716,665,1094,740,329,72,105,17135
"De 12 a 14 años (001)",6,4,,2,2,,,,,,2,6
"De 15 a 19 años (002)",104,97,,80,16,,1,,,,7,116
"De 20 a 24 años (003)",305,270,1,149,89,24,6,1,,,35,430
"De 25 a 29 años (004)",399,378,1,71,139,95,65,6,1,,21,960
"De 30 a 34 años (005)",479,470,4,68,126,113,132,24,3,,9,1409
"De 35 a 39 años (006)",502,499,2,51,101,118,137,69,20,1,3,1841
"De 40 a 44 años (007)",458,450,,23,56,64,155,103,43,6,8,2101
"De 45 a 49 años (008)",384,376,3,14,43,46,112,103,43,12,8,1885
"De 50 y más años (009)",1659,1647,8,98,144,205,486,434,219,53,12,8387
"Sin nivel (010)",1673,1652,12,119,177,219,542,383,168,32,21,7740
"De 12 a 14 años (011)",2,1,,,1,,,,,,1,2
"De 15 a 19 años (012)",9,7,,3,3,,1,,,,2,13
"De 20 a 24 años (013)",37,35,,16,12,5,2,,,,2,64
"De 25 a 29 años (014)",59,58,,3,13,19,16,6,1,,1,203
"De 30 a 34 años (015)",110,107,1,6,17,23,46,12,2,,3,402
"De 35 a 39 años (016)",153,152,2,6,19,29,48,34,13,1,1,685
"De 40 a 44 años (017)",191,190,,11,10,19,68,55,23,4,1,975
"De 45 a 49 años (018)",160,156,2,6,14,12,53,42,20,7,4,810
"De 50 y más años (019)",952,946,7,68,88,112,308,234,109,20,6,4586
"Educacion Inicial (020)",7,7,,1,1,1,4,,,,,24
"De 20 a 24 años (023)",2,2,,,1,1,,,,,,5
"De 25 a 29 años (024)",1,1,,,,,1,,,,,5
