"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia BARRANCA (000)",52177,120185,110845,,2040,92.2,1.7
"De 12 a 14 años (001)",4197,18,18,,2,100,11.1
"De 15 a 19 años (002)",6546,879,872,269,99.2,30.6,
"De 20 a 24 años (003)",5873,3878,3831,551,98.8,14.2,
"De 25 a 29 años (004)",5491,6860,6743,488,98.3,7.1,
"De 30 a 34 años (005)",4995,9344,9152,397,97.9,4.2,
"De 35 a 39 años (006)",4719,11377,11068,240,97.3,2.1,
"De 40 a 44 años (007)",4167,12109,11617,83,95.9,0.7,
"De 45 a 49 años (008)",3429,12052,11377,10,94.4,0.1,
"De 50 y más años (009)",12760,63668,56167,,88.2,,
"Sin nivel (010)",4354,23845,20039,66,84,0.3,
"De 12 a 14 años (011)",24,,,,,,
"De 15 a 19 años (012)",46,9,9,1,100,11.1,
"De 20 a 24 años (013)",84,75,72,7,96,9.3,
"De 25 a 29 años (014)",130,192,185,15,96.4,7.8,
"De 30 a 34 años (015)",192,483,468,16,96.9,3.3,
"De 35 a 39 años (016)",191,704,675,18,95.9,2.6,
"De 40 a 44 años (017)",236,983,894,6,90.9,0.6,
"De 45 a 49 años (018)",276,1489,1305,3,87.6,0.2,
"De 50 y más años (019)",3175,19910,16431,,82.5,,
"Educacion Inicial (020)",59,66,65,4,98.5,6.1,
"De 12 a 14 años (021)",12,,,,,,
"De 15 a 19 años (022)",6,1,1,1,100,100,
"De 20 a 24 años (023)",13,10,10,1,100,10,
"De 25 a 29 años (024)",10,10,10,1,100,10,
"De 30 a 34 años (025)",9,25,24,,96,,
"De 35 a 39 años (026)",9,20,20,1,100,5,
"Primaria (030)",13859,49995,45883,377,91.8,0.8,
"De 12 a 14 años (031)",1414,6,6,,100,,
"De 15 a 19 años (032)",536,154,154,38,100,24.7,
"De 20 a 24 años (033)",588,669,651,89,97.3,13.3,
"De 25 a 29 años (034)",743,1400,1366,78,97.6,5.6,
"De 30 a 34 años (035)",889,2229,2176,82,97.6,3.7,
"De 35 a 39 años (036)",980,3181,3061,57,96.2,1.8,
"De 40 a 44 años (037)",1198,4509,4291,30,95.2,0.7,
"De 45 a 49 años (038)",1165,5000,4688,3,93.8,0.1,
"De 50 y más años (039)",6346,32847,29490,,89.8,,
