"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SAN MARCOS (000)",17717,3085,14632
"Casa independiente (001)",16312,2943,13369
"Departamento en edificio (002)",23,23,
"Vivienda en quinta (003)",97,97,
"Vivienda en casa de vecindad (004)",16,16,
"Choza o cabaña (005)",1258,,1258
"Vivienda improvisada (006)",5,5,
"Local no dest.para hab. humana (007)",6,1,5
