"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia TAYACAJA (000)",104901,52038,52863,25677,12750,12927,79224,39288,39936
"Menores de 1 año (001)",1849,925,924,409,232,177,1440,693,747
"Menores de 1 mes (002)",138,66,72,38,22,16,100,44,56
"De 1 a 11 meses (003)",1711,859,852,371,210,161,1340,649,691
"De 1 a 4 años (004)",10229,5118,5111,2076,1034,1042,8153,4084,4069
"1 año (005)",2122,1069,1053,411,214,197,1711,855,856
"2 años (006)",2708,1392,1316,550,279,271,2158,1113,1045
"3 años (007)",2521,1201,1320,542,269,273,1979,932,1047
"4 años (008)",2878,1456,1422,573,272,301,2305,1184,1121
"De 5 a 9 años (009)",15216,7720,7496,3283,1641,1642,11933,6079,5854
"5 años (010)",2830,1432,1398,610,300,310,2220,1132,1088
"6 años (011)",2801,1408,1393,560,289,271,2241,1119,1122
"7 años (012)",3189,1631,1558,711,353,358,2478,1278,1200
"8 años (013)",3336,1670,1666,725,359,366,2611,1311,1300
"9 años (014)",3060,1579,1481,677,340,337,2383,1239,1144
"De 10 a 14 años (015)",15338,7853,7485,3672,1896,1776,11666,5957,5709
"10 años (016)",3411,1699,1712,751,386,365,2660,1313,1347
"11 años (017)",2845,1475,1370,669,335,334,2176,1140,1036
"12 años (018)",3405,1728,1677,823,430,393,2582,1298,1284
"13 años (019)",2893,1502,1391,687,363,324,2206,1139,1067
"14 años (020)",2784,1449,1335,742,382,360,2042,1067,975
"De 15 a 19 años (021)",10145,5237,4908,2742,1477,1265,7403,3760,3643
"15 años (022)",2553,1242,1311,703,346,357,1850,896,954
"16 años (023)",2217,1165,1052,591,296,295,1626,869,757
"17 años (024)",2007,1070,937,530,308,222,1477,762,715
"18 años (025)",1831,1013,818,487,287,200,1344,726,618
"19 años (026)",1537,747,790,431,240,191,1106,507,599
"De 20 a 24 años (027)",7840,3845,3995,1960,973,987,5880,2872,3008
"20 años (028)",1821,921,900,433,225,208,1388,696,692
"21 años (029)",1271,595,676,338,171,167,933,424,509
"22 años (030)",1690,848,842,388,196,192,1302,652,650
"23 años (031)",1514,726,788,406,201,205,1108,525,583
"24 años (032)",1544,755,789,395,180,215,1149,575,574
"De 25 a 29 años (033)",6928,3372,3556,1717,835,882,5211,2537,2674
"25 años (034)",1535,753,782,336,180,156,1199,573,626
"26 años (035)",1361,636,725,340,155,185,1021,481,540
"27 años (036)",1396,707,689,353,183,170,1043,524,519
"28 años (037)",1433,695,738,360,168,192,1073,527,546
"29 años (038)",1203,581,622,328,149,179,875,432,443
"De 30 a 34 años (039)",6088,2947,3141,1607,755,852,4481,2192,2289
"30 años (040)",1650,854,796,407,197,210,1243,657,586
"31 años (041)",919,418,501,262,119,143,657,299,358
