"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LEONCIO PRADO (000)",114713,66676,48037
"Casa independiente (001)",89295,59025,30270
"Departamento en edificio (002)",1675,1675,
"Vivienda en quinta (003)",3807,3807,
"Vivienda en casa de vecindad (004)",1317,1317,
"Choza o cabaña (005)",17728,,17728
"Vivienda improvisada (006)",742,742,
"Local no dest.para hab. humana (007)",98,97,1
"Otro tipo (008)",51,13,38
