"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUANCAVELICA (000)",133203,7062,18789,19880,15433,23246,16372,24182,8239
"Sin nivel (001)",24172,7062,2589,82,123,625,1447,7015,5229
"Educación inicial (002)",3839,,3718,44,12,30,35,,
"Primaria (003)",52522,,12482,13965,2404,5517,6008,9760,2386
"Secundaria (004)",35652,,,5789,11842,9600,4130,3858,433
"Superior no univ. incompleto (005)",2867,,,,396,1608,486,352,25
"Superior no univ. completo (006)",4839,,,,,1565,1849,1355,70
"Superior univ. incompleto (007)",3834,,,,656,2496,383,287,12
"Superior univ. completo (008)",5478,,,,,1805,2034,1555,84
"Hombres (010)",64819,3569,9421,10216,7562,11137,7709,11509,3696
"Sin nivel (011)",8219,3569,1308,34,44,103,198,1474,1489
"Educación inicial (012)",1896,,1854,18,6,7,11,,
"Primaria (013)",25263,,6259,7024,822,1790,2457,5187,1724
"Secundaria (014)",20343,,,3140,6193,5449,2587,2632,342
"Superior no univ. incompleto (015)",1578,,,,186,864,273,235,20
"Superior no univ. completo (016)",2388,,,,,740,853,750,45
"Superior univ. incompleto (017)",2116,,,,311,1339,248,207,11
"Superior univ. completo (018)",3016,,,,,845,1082,1024,65
"Mujeres (020)",68384,3493,9368,9664,7871,12109,8663,12673,4543
"Sin nivel (021)",15953,3493,1281,48,79,522,1249,5541,3740
"Educación inicial (022)",1943,,1864,26,6,23,24,,
"Primaria (023)",27259,,6223,6941,1582,3727,3551,4573,662
"Secundaria (024)",15309,,,2649,5649,4151,1543,1226,91
"Superior no univ. incompleto (025)",1289,,,,210,744,213,117,5
"Superior no univ. completo (026)",2451,,,,,825,996,605,25
"Superior univ. incompleto (027)",1718,,,,345,1157,135,80,1
"Superior univ. completo (028)",2462,,,,,960,952,531,19
,,,,,,,,,
"URBANA (030)",56588,2413,6648,7658,6767,11362,7959,10626,3155
"Sin nivel (031)",6225,2413,588,29,23,91,226,1385,1470
"Educación inicial (032)",1428,,1379,24,5,12,8,,
"Primaria (033)",16340,,4681,4608,367,838,1260,3422,1164
"Secundaria (034)",17532,,,2997,5482,4003,2140,2562,348
