"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PASCO (000)",52619,424,18860,20162,11298,1875
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",118,,9,56,48,5
"Profes., científicos e intelectuales (002)",5403,,1252,2776,1356,19
"Técnicos de nivel medio y trab.asimilados (003)",2322,,878,910,502,32
"Jefes y empleados de oficina (004)",2081,,863,776,435,7
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5181,38,1825,2054,1080,184
"Agricult.trabaj. calif. agrop. y pesqueros (006)",7477,7,1470,2647,2440,913
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",6686,15,2435,2815,1341,80
"Obreros construc., conf., papel, fab., instr. (008)",5930,7,2005,2672,1158,88
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",11705,310,5249,3650,2104,392
"Otra (010)",87,,41,37,9,
"Ocupación no especificada (011)",2029,4,750,761,423,91
"Desocupado (012)",3600,43,2083,1008,402,64
"Hombres (013)",38292,274,13510,14685,8406,1417
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",88,,4,42,37,5
"Profes., científicos e intelectuales (015)",2901,,607,1414,862,18
"Técnicos de nivel medio y trab.asimilados (016)",1671,,602,667,372,30
"Jefes y empleados de oficina (017)",1129,,371,431,320,7
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",2299,16,865,877,456,85
"Agricult.trabaj. calif. agrop. y pesqueros (019)",6575,7,1281,2334,2151,802
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",6341,14,2264,2725,1271,67
"Obreros construc., conf., papel, fab., instr. (021)",5814,5,1957,2627,1139,86
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",7647,199,3720,2310,1191,227
"Otra (023)",86,,40,37,9,
"Ocupación no especificada (024)",1212,3,442,472,259,36
"Desocupado (025)",2529,30,1357,749,339,54
"Mujeres (026)",14327,150,5350,5477,2892,458
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",30,,5,14,11,
"Profes., científicos e intelectuales (028)",2502,,645,1362,494,1
"Técnicos de nivel medio y trab.asimilados (029)",651,,276,243,130,2
"Jefes y empleados de oficina (030)",952,,492,345,115,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",2882,22,960,1177,624,99
"Agricult.trabaj. calif. agrop. y pesqueros (032)",902,,189,313,289,111
