"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LEONCIO PRADO (000)",29351,27894,113,6567,6257,4819,5890,2875,1075,298,1457,90080
"De 12 a 14 años (001)",56,27,1,26,,,,,,,29,26
"De 15 a 19 años (002)",1290,1148,13,987,129,12,7,,,,142,1309
"De 20 a 24 años (003)",3705,3151,13,2038,847,216,34,3,,,554,4544
"De 25 a 29 años (004)",4173,3777,12,1435,1365,645,304,14,2,,396,7487
"De 30 a 34 años (005)",3781,3650,18,781,1164,866,691,116,12,2,131,9528
"De 35 a 39 años (006)",3846,3774,10,454,973,905,1036,329,59,8,72,12311
"De 40 a 44 años (007)",3244,3207,12,252,645,717,1007,417,133,24,37,12156
"De 45 a 49 años (008)",2685,2657,7,182,435,554,851,446,143,39,28,10963
"De 50 y más años (009)",6571,6503,27,412,699,904,1960,1550,726,225,68,31756
"Sin nivel (010)",4813,4721,30,394,557,641,1403,1067,486,143,92,22184
"De 12 a 14 años (011)",6,3,,3,,,,,,,3,3
"De 15 a 19 años (012)",66,62,3,37,17,4,1,,,,4,87
"De 20 a 24 años (013)",194,170,,68,65,30,7,,,,24,318
"De 25 a 29 años (014)",277,265,1,46,88,59,67,4,,,12,720
"De 30 a 34 años (015)",395,384,3,46,55,95,147,35,3,,11,1329
"De 35 a 39 años (016)",535,527,,25,64,88,202,109,34,5,8,2349
"De 40 a 44 años (017)",524,517,4,20,43,58,180,139,60,13,7,2629
"De 45 a 49 años (018)",477,476,3,20,39,53,157,133,48,23,1,2477
"De 50 y más años (019)",2339,2317,16,129,186,254,642,647,341,102,22,12272
"Educacion Inicial (020)",48,42,,13,10,6,11,1,1,,6,114
"De 15 a 19 años (022)",1,1,,1,,,,,,,,1
