"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia YAROWILCA (000)",9610,8758,426,152,274
"Agric., ganadería, caza y silvicultura (001)",7810,7566,220,18,6
"Explotación de minas y canteras (003)",16,4,3,2,7
"Industrias manufactureras (004)",93,74,13,6,
"Construcción (006)",137,100,31,5,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",316,308,6,1,1
"Venta, mant.y rep. veh.autom y motoc. (008)",11,10,,,1
"Comercio al por mayor (009)",18,18,,,
"Comercio al por menor (010)",287,280,6,1,
"Hoteles y restaurantes (011)",145,139,6,,
"Trans., almac. y comunicaciones (012)",92,81,4,7,
"Intermediación financiera (013)",1,,1,,
"Activid.inmobil., empres. y alquileres (014)",18,7,5,4,2
"Admin.pub. y defensa; p. segur soc.afil (015)",95,,,,95
"Enseñanza (016)",421,91,118,101,111
"Servicios sociales y de salud (017)",64,11,3,1,49
"Otras activ. serv.comun.soc y personales (018)",33,24,7,2,
"Hogares privados con servicio doméstico (019)",106,106,,,
"Actividad economica no especificada (021)",263,247,9,5,2
"Hombres (022)",6362,5734,323,108,197
"Agric., ganadería, caza y silvicultura (023)",5350,5159,170,17,4
"Explotación de minas y canteras (025)",16,4,3,2,7
"Industrias manufactureras (026)",77,64,9,4,
"Construcción (028)",136,100,30,5,1
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",150,144,4,1,1
"Venta, mant.y rep. veh.autom y motoc. (030)",11,10,,,1
"Comercio al por mayor (031)",6,6,,,
"Comercio al por menor (032)",133,128,4,1,
"Hoteles y restaurantes (033)",16,13,3,,
"Trans., almac. y comunicaciones (034)",85,80,4,1,
"Intermediación financiera (035)",1,,1,,
"Activid.inmobil., empres. y alquileres (036)",15,7,3,3,2
"Admin.pub. y defensa; p. segur soc.afil (037)",83,,,,83
"Enseñanza (038)",282,54,82,68,78
"Servicios sociales y de salud (039)",30,7,2,1,20
"Otras activ. serv.comun.soc y personales (040)",24,17,5,2,
"Hogares privados con servicio doméstico (041)",21,21,,,
"Actividad economica no especificada (043)",76,64,7,4,1
"Mujeres (044)",3248,3024,103,44,77
"Agric., ganadería, caza y silvicultura (045)",2460,2407,50,1,2
"Industrias manufactureras (048)",16,10,4,2,
"Construcción (050)",1,,1,,
