"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LA CONVENCION (000)",65302,1219,22081,22428,15354,4220
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",67,,5,32,28,2
"Profes., científicos e intelectuales (002)",3486,,802,1870,782,32
"Técnicos de nivel medio y trab.asimilados (003)",1238,1,412,540,250,35
"Jefes y empleados de oficina (004)",940,,387,350,193,10
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5865,47,1853,2392,1330,243
"Agricult.trabaj. calif. agrop. y pesqueros (006)",25468,105,6026,8655,7804,2878
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",2091,17,809,720,456,89
"Obreros construc., conf., papel, fab., instr. (008)",3428,6,1259,1410,699,54
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",18665,980,8799,5090,3088,708
"Otra (010)",311,,87,162,61,1
"Ocupación no especificada (011)",1896,17,689,617,447,126
"Desocupado (012)",1847,46,953,590,216,42
"Hombres (013)",48169,812,16027,16138,11726,3466
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",57,,4,26,25,2
"Profes., científicos e intelectuales (015)",1934,,362,1003,539,30
"Técnicos de nivel medio y trab.asimilados (016)",797,1,241,336,190,29
"Jefes y empleados de oficina (017)",523,,149,225,142,7
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",1964,16,602,742,496,108
"Agricult.trabaj. calif. agrop. y pesqueros (019)",23052,87,5362,7943,7046,2614
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",1835,15,718,615,406,81
"Obreros construc., conf., papel, fab., instr. (021)",3364,6,1231,1389,684,54
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",12351,645,6379,3050,1811,466
"Otra (023)",303,,81,160,61,1
"Ocupación no especificada (024)",758,8,305,243,166,36
"Desocupado (025)",1231,34,593,406,160,38
"Mujeres (026)",17133,407,6054,6290,3628,754
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",10,,1,6,3,
"Profes., científicos e intelectuales (028)",1552,,440,867,243,2
"Técnicos de nivel medio y trab.asimilados (029)",441,,171,204,60,6
"Jefes y empleados de oficina (030)",417,,238,125,51,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",3901,31,1251,1650,834,135
"Agricult.trabaj. calif. agrop. y pesqueros (032)",2416,18,664,712,758,264
