"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Hogares privados con servicio doméstico (107)",22,22,,,
"Actividad economica no especificada (109)",261,148,39,49,25
"Mujeres (110)",7590,5876,469,386,859
"Agric., ganadería, caza y silvicultura (111)",2127,2061,58,8,
"Pesca (112)",2,2,,,
"Explotación de minas y canteras (113)",33,7,4,3,19
"Industrias manufactureras (114)",345,201,38,31,75
"Suministro de electricidad, gas y agua (115)",3,,,2,1
"Construcción (116)",27,12,6,2,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1649,1561,65,15,8
"Venta, mant.y rep. veh.autom y motoc. (118)",24,14,8,1,1
"Comercio al por mayor (119)",57,49,1,,7
"Comercio al por menor (120)",1568,1498,56,14,
"Hoteles y restaurantes (121)",781,645,98,25,13
"Trans., almac. y comunicaciones (122)",96,67,5,14,10
"Intermediación financiera (123)",9,2,1,4,2
"Activid.inmobil., empres. y alquileres (124)",208,95,19,49,45
"Admin.pub. y defensa; p. segur soc.afil (125)",265,,,,265
"Enseñanza (126)",704,151,122,199,232
"Servicios sociales y de salud (127)",236,60,16,8,152
"Otras activ. serv.comun.soc y personales (128)",293,236,27,12,18
"Hogares privados con servicio doméstico (129)",557,557,,,
"Actividad economica no especificada (131)",255,219,10,14,12
,,,,,
"RURAL (132)",11333,8190,876,1035,1232
"Agric., ganadería, caza y silvicultura (133)",5420,5170,189,56,5
"Pesca (134)",7,6,1,,
"Explotación de minas y canteras (135)",2276,407,346,675,848
"Industrias manufactureras (136)",313,176,45,47,45
"Suministro de electricidad, gas y agua (137)",22,1,1,15,5
"Construcción (138)",377,231,78,50,18
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",709,646,39,18,6
"Venta, mant.y rep. veh.autom y motoc. (140)",112,93,9,7,3
"Comercio al por mayor (141)",32,24,3,2,3
"Comercio al por menor (142)",565,529,27,9,
"Hoteles y restaurantes (143)",318,270,36,7,5
"Trans., almac. y comunicaciones (144)",403,300,33,47,23
"Intermediación financiera (145)",2,,,,2
"Activid.inmobil., empres. y alquileres (146)",186,77,21,62,26
"Admin.pub. y defensa; p. segur soc.afil (147)",138,,,,138
"Enseñanza (148)",149,57,21,21,50
"Servicios sociales y de salud (149)",63,31,5,,27
"Otras activ. serv.comun.soc y personales (150)",429,355,34,22,18
"Hogares privados con servicio doméstico (151)",233,233,,,
"Actividad economica no especificada (153)",288,230,27,15,16
"Hombres (154)",8492,5671,745,977,1099
"Agric., ganadería, caza y silvicultura (155)",3962,3754,152,52,4
"Pesca (156)",5,4,1,,
"Explotación de minas y canteras (157)",2252,402,341,672,837
"Industrias manufactureras (158)",225,127,31,34,33
"Suministro de electricidad, gas y agua (159)",22,1,1,15,5
"Construcción (160)",372,229,77,48,18
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",319,276,23,15,5
"Venta, mant.y rep. veh.autom y motoc. (162)",98,81,7,7,3
"Comercio al por mayor (163)",19,14,1,2,2
"Comercio al por menor (164)",202,181,15,6,
"Hoteles y restaurantes (165)",111,89,16,3,3
"Trans., almac. y comunicaciones (166)",389,290,32,44,23
"Intermediación financiera (167)",2,,,,2
"Activid.inmobil., empres. y alquileres (168)",155,61,19,55,20
"Admin.pub. y defensa; p. segur soc.afil (169)",97,,,,97
"Enseñanza (170)",55,18,8,10,19
"Servicios sociales y de salud (171)",23,14,3,,6
"Otras activ. serv.comun.soc y personales (172)",339,281,26,17,15
"Hogares privados con servicio doméstico (173)",10,10,,,
"Actividad economica no especificada (175)",154,115,15,12,12
"Mujeres (176)",2841,2519,131,58,133
"Agric., ganadería, caza y silvicultura (177)",1458,1416,37,4,1
"Pesca (178)",2,2,,,
"Explotación de minas y canteras (179)",24,5,5,3,11
"Industrias manufactureras (180)",88,49,14,13,12
"Construcción (182)",5,2,1,2,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",390,370,16,3,1
"Venta, mant.y rep. veh.autom y motoc. (184)",14,12,2,,
"Comercio al por mayor (185)",13,10,2,,1
"Comercio al por menor (186)",363,348,12,3,
"Hoteles y restaurantes (187)",207,181,20,4,2
"Trans., almac. y comunicaciones (188)",14,10,1,3,
"Activid.inmobil., empres. y alquileres (190)",31,16,2,7,6
"Admin.pub. y defensa; p. segur soc.afil (191)",41,,,,41
"Enseñanza (192)",94,39,13,11,31
"Servicios sociales y de salud (193)",40,17,2,,21
"Otras activ. serv.comun.soc y personales (194)",90,74,8,5,3
"Hogares privados con servicio doméstico (195)",223,223,,,
"Actividad economica no especificada (197)",134,115,12,3,4
