"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ILO (000)",26126,15237,3048,3525,4316
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",72,7,10,20,35
"Profes., científicos e intelectuales (002)",2761,650,327,802,982
"Técnicos de nivel medio y trab. asimilados (003)",2406,1022,336,437,611
"Jefes y empleados de oficina (004)",1718,462,244,377,635
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4868,4069,359,266,174
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1721,997,479,221,24
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",2944,1459,311,440,734
"Obreros construc.,conf.,papel, fab., instr. (008)",3347,2302,340,413,292
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",5194,3716,543,464,471
"Otra (010)",278,,,,278
"Ocupación no especificada (011)",817,553,99,85,80
"Hombres (012)",16445,8528,2272,2522,3123
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",49,3,9,11,26
"Profes., científicos e intelectuales (014)",1285,319,130,296,540
"Técnicos de nivel medio y trab. asimilados (015)",1531,592,221,319,399
"Jefes y empleados de oficina (016)",745,140,96,199,310
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1873,1290,221,209,153
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1658,949,470,217,22
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",2640,1215,287,422,716
"Obreros construc.,conf.,papel, fab., instr. (020)",3275,2252,332,403,288
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2659,1508,430,377,344
"Otra (022)",261,,,,261
"Ocupación no especificada (023)",469,260,76,69,64
"Mujeres (024)",9681,6709,776,1003,1193
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",23,4,1,9,9
"Profes., científicos e intelectuales (026)",1476,331,197,506,442
"Técnicos de nivel medio y trab. asimilados (027)",875,430,115,118,212
"Jefes y empleados de oficina (028)",973,322,148,178,325
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2995,2779,138,57,21
"Agricult.trabaj.calif.agrop.y pesqueros (030)",63,48,9,4,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",304,244,24,18,18
"Obreros construc.,conf.,papel, fab., instr. (032)",72,50,8,10,4
