"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MARISCAL CACERES (000)",20469,717,6917,7243,4647,945
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",43,,4,25,13,1
"Profes., científicos e intelectuales (002)",1268,,264,717,282,5
"Técnicos de nivel medio y trab. asimilados (003)",536,1,188,210,112,25
"Jefes y empleados de oficina (004)",565,,260,196,106,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2056,39,639,773,517,88
"Agricult. trabaj. calif.agrop. y pesqueros (006)",7010,71,1785,2598,1996,560
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",980,22,332,358,236,32
"Obreros construc., conf., papel, fab., instr. (008)",1226,5,467,473,256,25
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",6141,575,2735,1667,988,176
"Otra (010)",134,,36,71,27,
"Ocupación no especificada (011)",510,4,207,155,114,30
"Hombres (012)",15061,542,5088,5243,3426,762
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",28,,3,17,7,1
"Profes., científicos e intelectuales (014)",663,,144,353,162,4
"Técnicos de nivel medio y trab. asimilados (015)",375,1,126,149,80,19
"Jefes y empleados de oficina (016)",277,,96,104,74,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",921,20,280,334,243,44
"Agricult. trabaj. calif.agrop. y pesqueros (018)",6503,58,1633,2452,1843,517
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",844,20,311,310,180,23
"Obreros construc., conf., papel, fab., instr. (020)",1210,5,460,468,253,24
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",3901,435,1914,923,517,112
"Otra (022)",130,,35,70,25,
"Ocupación no especificada (023)",209,3,86,63,42,15
"Mujeres (024)",5408,175,1829,2000,1221,183
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",15,,1,8,6,
"Profes., científicos e intelectuales (026)",605,,120,364,120,1
"Técnicos de nivel medio y trab. asimilados (027)",161,,62,61,32,6
"Jefes y empleados de oficina (028)",288,,164,92,32,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1135,19,359,439,274,44
"Agricult. trabaj. calif.agrop. y pesqueros (030)",507,13,152,146,153,43
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",136,2,21,48,56,9
"Obreros construc., conf., papel, fab., instr. (032)",16,,7,5,3,1
