"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUARMEY (000)",7557,7156,34,1649,1621,1150,1425,785,341,151,401,24156
"De 12 a 14 años (001)",12,6,1,5,,,,,,,6,5
"De 15 a 19 años (002)",181,153,1,130,20,1,1,,,,28,177
"De 20 a 24 años (003)",805,701,6,474,191,26,4,,,,104,952
"De 25 a 29 años (004)",938,848,3,363,323,109,48,2,,,90,1549
"De 30 a 34 años (005)",1016,965,3,250,364,195,133,17,2,1,51,2264
"De 35 a 39 años (006)",976,938,3,139,266,277,217,30,6,,38,2693
"De 40 a 44 años (007)",725,693,2,82,143,162,205,80,19,,32,2421
"De 45 a 49 años (008)",605,594,2,64,102,125,176,86,31,8,11,2315
"De 50 y más años (009)",2299,2258,13,142,212,255,641,570,283,142,41,11780
"Conviviente (010)",3389,3295,15,911,882,558,584,235,79,31,94,9424
"De 12 a 14 años (011)",11,5,1,4,,,,,,,6,4
"De 15 a 19 años (012)",136,114,1,94,17,1,1,,,,22,135
"De 20 a 24 años (013)",561,537,3,355,152,24,3,,,,24,744
"De 25 a 29 años (014)",606,591,3,216,243,85,42,2,,,15,1145
"De 30 a 34 años (015)",599,593,1,126,211,143,97,12,2,1,6,1491
"De 35 a 39 años (016)",495,488,2,54,124,139,146,19,4,,7,1518
"De 40 a 44 años (017)",329,319,2,30,64,69,98,43,13,,10,1176
"De 45 a 49 años (018)",223,222,1,10,32,43,77,40,16,3,1,969
"De 50 y más años (019)",429,426,1,22,39,54,120,119,44,27,3,2242
"Separado(a) (020)",542,538,2,157,128,69,102,53,21,6,4,1649
"De 15 a 19 años (022)",15,13,,12,1,,,,,,2,14
"De 20 a 24 años (023)",38,38,,28,10,,,,,,,48
"De 25 a 29 años (024)",55,55,,37,15,3,,,,,,76
