"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia BELLAVISTA (000)",19097,16112,1405,1061,519
"Agric., ganadería, caza y silvicultura (001)",13019,11520,922,506,71
"Pesca (002)",6,6,,,
"Explotación de minas y canteras (003)",2,2,,,
"Industrias manufactureras (004)",430,351,39,34,6
"Suministro de electricidad, gas y agua (005)",28,8,5,14,1
"Construcción (006)",368,209,79,66,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1712,1623,75,12,2
"Venta, mant.y rep. veh.autom y motoc. (008)",190,179,10,1,
"Comercio al por mayor (009)",65,50,8,5,2
"Comercio al por menor (010)",1457,1394,57,6,
"Hoteles y restaurantes (011)",502,468,27,6,1
"Trans., almac. y comunicaciones (012)",642,562,39,32,9
"Intermediación financiera (013)",22,2,3,15,2
"Activid.inmobil., empres. y alquileres (014)",137,93,11,26,7
"Admin.pub. y defensa; p. segur soc.afil (015)",248,,,,248
"Enseñanza (016)",707,201,155,308,43
"Servicios sociales y de salud (017)",142,31,1,4,106
"Otras activ. serv.comun.soc y personales (018)",177,137,21,17,2
"Hogares privados con servicio doméstico (019)",412,412,,,
"Actividad economica no especificada (021)",543,487,28,21,7
"Hombres (022)",14655,12400,1123,781,351
"Agric., ganadería, caza y silvicultura (023)",11205,9938,785,419,63
"Pesca (024)",6,6,,,
"Explotación de minas y canteras (025)",2,2,,,
"Industrias manufactureras (026)",338,270,33,30,5
"Suministro de electricidad, gas y agua (027)",27,7,5,14,1
"Construcción (028)",357,205,76,62,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",971,909,53,8,1
"Venta, mant.y rep. veh.autom y motoc. (030)",171,162,8,1,
"Comercio al por mayor (031)",43,31,7,4,1
"Comercio al por menor (032)",757,716,38,3,
"Hoteles y restaurantes (033)",91,85,5,1,
"Trans., almac. y comunicaciones (034)",619,541,38,31,9
"Intermediación financiera (035)",17,2,3,11,1
"Activid.inmobil., empres. y alquileres (036)",109,72,8,23,6
"Admin.pub. y defensa; p. segur soc.afil (037)",170,,,,170
"Enseñanza (038)",351,77,85,163,26
"Servicios sociales y de salud (039)",74,22,1,1,50
"Otras activ. serv.comun.soc y personales (040)",105,77,15,12,1
"Hogares privados con servicio doméstico (041)",23,23,,,
"Actividad economica no especificada (043)",190,164,16,6,4
