"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia SANCHEZ CARRION (000)",36443,3464,5226,18724,432,6332,593,1672
"Agric., ganadería, caza y silvicultura (001)",22232,21,2391,13991,255,5574,,
"Pesca (002)",8,,7,1,,,,
"Explotación de minas y canteras (003)",772,36,662,41,12,21,,
"Industrias manufactureras (004)",1593,28,346,1076,43,100,,
"Suministro de electricidad, gas y agua (005)",33,7,25,,,1,,
"Construcción (006)",1461,63,1092,238,23,45,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2462,293,81,1830,38,220,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",209,25,59,119,4,2,,
"Comercio al por mayor (009)",163,32,6,105,6,14,,
"Comercio al por menor (010)",2090,236,16,1606,28,204,,
"Hoteles y restaurantes (011)",767,180,35,472,20,60,,
"Trans., almac. y comunicaciones (012)",955,233,255,429,21,17,,
"Intermediación financiera (013)",49,48,,,1,,,
"Activid.inmobil., empres. y alquileres (014)",289,208,36,41,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",518,415,103,,,,,
"Enseñanza (016)",1526,1459,2,60,2,3,,
"Servicios sociales y de salud (017)",231,194,5,31,1,,,
"Otras activ. serv.comun.soc y personales (018)",409,172,39,180,5,13,,
"Hogares privados con servicio doméstico (019)",593,,,,,,593,
"Actividad economica no especificada (021)",873,107,147,334,7,278,,
"Desocupado (022)",1672,,,,,,,1672
"Hombres (023)",28860,1885,4854,16173,384,4220,16,1328
"Agric., ganadería, caza y silvicultura (024)",20047,21,2213,13577,248,3988,,
"Pesca (025)",7,,7,,,,,
"Explotación de minas y canteras (026)",761,35,654,39,12,21,,
"Industrias manufactureras (027)",1153,24,321,707,40,61,,
"Suministro de electricidad, gas y agua (028)",31,6,25,,,,,
"Construcción (029)",1426,57,1066,236,23,44,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1245,151,78,936,28,52,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",198,17,58,118,4,1,,
"Comercio al por mayor (032)",115,21,6,80,5,3,,
"Comercio al por menor (033)",932,113,14,738,19,48,,
"Hoteles y restaurantes (034)",118,38,9,64,3,4,,
"Trans., almac. y comunicaciones (035)",915,209,248,425,20,13,,
"Intermediación financiera (036)",24,24,,,,,,
"Activid.inmobil., empres. y alquileres (037)",205,138,29,34,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",397,313,84,,,,,
"Enseñanza (039)",694,670,2,21,,1,,
"Servicios sociales y de salud (040)",91,62,2,26,1,,,
"Otras activ. serv.comun.soc y personales (041)",129,75,9,39,3,3,,
"Hogares privados con servicio doméstico (042)",16,,,,,,16,
"Actividad economica no especificada (044)",273,62,107,69,2,33,,
"Desocupado (045)",1328,,,,,,,1328
"Mujeres (046)",7583,1579,372,2551,48,2112,577,344
"Agric., ganadería, caza y silvicultura (047)",2185,,178,414,7,1586,,
"Pesca (048)",1,,,1,,,,
"Explotación de minas y canteras (049)",11,1,8,2,,,,
"Industrias manufactureras (050)",440,4,25,369,3,39,,
"Suministro de electricidad, gas y agua (051)",2,1,,,,1,,
"Construcción (052)",35,6,26,2,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",1217,142,3,894,10,168,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",11,8,1,1,,1,,
"Comercio al por mayor (055)",48,11,,25,1,11,,
"Comercio al por menor (056)",1158,123,2,868,9,156,,
"Hoteles y restaurantes (057)",649,142,26,408,17,56,,
"Trans., almac. y comunicaciones (058)",40,24,7,4,1,4,,
"Intermediación financiera (059)",25,24,,,1,,,
"Activid.inmobil., empres. y alquileres (060)",84,70,7,7,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",121,102,19,,,,,
"Enseñanza (062)",832,789,,39,2,2,,
"Servicios sociales y de salud (063)",140,132,3,5,,,,
"Otras activ. serv.comun.soc y personales (064)",280,97,30,141,2,10,,
"Hogares privados con servicio doméstico (065)",577,,,,,,577,
"Actividad economica no especificada (067)",600,45,40,265,5,245,,
,,,,,,,,
"URBANA (068)",11541,2990,2205,4365,193,581,457,750
"Agric., ganadería, caza y silvicultura (069)",1822,16,457,1132,36,181,,
"Pesca (070)",2,,1,1,,,,
"Explotación de minas y canteras (071)",458,32,388,26,8,4,,
"Industrias manufactureras (072)",813,21,211,506,38,37,,
"Suministro de electricidad, gas y agua (073)",22,5,16,,,1,,
"Construcción (074)",889,60,661,137,20,11,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",2012,262,72,1461,31,186,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",188,23,52,109,2,2,,
"Comercio al por mayor (077)",118,27,5,74,2,10,,
"Comercio al por menor (078)",1706,212,15,1278,27,174,,
"Hoteles y restaurantes (079)",588,133,24,371,20,40,,
"Trans., almac. y comunicaciones (080)",785,201,168,384,21,11,,
"Intermediación financiera (081)",49,48,,,1,,,
"Activid.inmobil., empres. y alquileres (082)",254,188,25,38,3,,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",459,385,74,,,,,
"Enseñanza (084)",1295,1241,1,48,2,3,,
"Servicios sociales y de salud (085)",201,170,4,26,1,,,
"Otras activ. serv.comun.soc y personales (086)",344,148,31,157,5,3,,
"Hogares privados con servicio doméstico (087)",457,,,,,,457,
"Actividad economica no especificada (089)",341,80,72,78,7,104,,
"Desocupado (090)",750,,,,,,,750
"Hombres (091)",7503,1622,2021,2904,152,225,11,568
"Agric., ganadería, caza y silvicultura (092)",1661,16,410,1076,35,124,,
"Pesca (093)",1,,1,,,,,
"Explotación de minas y canteras (094)",450,31,382,25,8,4,,
"Industrias manufactureras (095)",660,18,199,384,35,24,,
"Suministro de electricidad, gas y agua (096)",21,5,16,,,,,
"Construcción (097)",860,54,640,135,20,11,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",967,129,69,710,22,37,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",178,16,51,108,2,1,,
"Comercio al por mayor (100)",74,16,5,50,2,1,,
"Comercio al por menor (101)",715,97,13,552,18,35,,
"Hoteles y restaurantes (102)",99,36,7,49,3,4,,
"Trans., almac. y comunicaciones (103)",750,179,162,380,20,9,,
"Intermediación financiera (104)",24,24,,,,,,
"Activid.inmobil., empres. y alquileres (105)",178,124,19,32,3,,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",348,290,58,,,,,
"Enseñanza (107)",578,558,1,18,,1,,
"Servicios sociales y de salud (108)",78,53,1,23,1,,,
"Otras activ. serv.comun.soc y personales (109)",104,58,6,37,3,,,
"Hogares privados con servicio doméstico (110)",11,,,,,,11,
"Actividad economica no especificada (112)",145,47,50,35,2,11,,
"Desocupado (113)",568,,,,,,,568
"Mujeres (114)",4038,1368,184,1461,41,356,446,182
"Agric., ganadería, caza y silvicultura (115)",161,,47,56,1,57,,
