"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CASTROVIRREYNA (000)",6492,4875,631,477,509
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",32,,3,3,26
"Profes., científicos e intelectuales (002)",602,219,196,112,75
"Técnicos de nivel medio y trab. asimilados (003)",163,54,43,19,47
"Jefes y empleados de oficina (004)",192,29,23,20,120
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",364,329,23,3,9
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2235,2210,24,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",654,348,127,131,48
"Obreros construc.,conf.,papel, fab., instr. (008)",274,167,44,48,15
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1827,1444,126,132,125
"Otra (010)",43,,,,43
"Ocupación no especificada (011)",106,75,22,8,1
"Hombres (012)",4531,3249,503,407,372
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",23,,1,2,20
"Profes., científicos e intelectuales (014)",318,87,116,72,43
"Técnicos de nivel medio y trab. asimilados (015)",138,50,40,17,31
"Jefes y empleados de oficina (016)",125,19,18,12,76
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",137,119,10,2,6
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1662,1643,19,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",640,343,123,129,45
"Obreros construc.,conf.,papel, fab., instr. (020)",270,163,44,48,15
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1114,789,115,117,93
"Otra (022)",42,,,,42
"Ocupación no especificada (023)",62,36,17,8,1
"Mujeres (024)",1961,1626,128,70,137
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",9,,2,1,6
"Profes., científicos e intelectuales (026)",284,132,80,40,32
"Técnicos de nivel medio y trab. asimilados (027)",25,4,3,2,16
"Jefes y empleados de oficina (028)",67,10,5,8,44
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",227,210,13,1,3
"Agricult.trabaj.calif.agrop.y pesqueros (030)",573,567,5,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",14,5,4,2,3
"Obreros construc.,conf.,papel, fab., instr. (032)",4,4,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",713,655,11,15,32
