"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LAmás (000)",26661,25867,6759,3545,3664,2804,3947,2350,1525,1273,794,79317
"De 12 a 14 años (001)",2833,2799,2763,32,4,,,,,,34,40
"De 15 a 19 años (002)",3862,3709,2705,809,166,22,7,,,,153,1235
"De 20 a 24 años (003)",3220,2991,652,1186,821,257,67,8,,,229,3933
"De 25 a 29 años (004)",2818,2692,198,638,924,562,321,47,2,,126,5839
"De 30 a 34 años (005)",2568,2498,93,334,680,603,630,135,16,7,70,7305
"De 35 a 39 años (006)",2386,2347,56,160,428,493,781,314,94,21,39,8960
"De 40 a 44 años (007)",1995,1962,76,105,240,312,663,375,146,45,33,8605
"De 45 a 49 años (008)",1599,1578,45,75,152,206,462,336,193,109,21,8102
"De 50 y más años (009)",5380,5291,171,206,249,349,1016,1135,1074,1091,89,35298
"Sin nivel (010)",4096,3959,313,234,288,333,761,735,621,674,137,23056
"De 12 a 14 años (011)",65,62,60,2,,,,,,,3,2
"De 15 a 19 años (012)",116,111,64,29,13,2,3,,,,5,73
"De 20 a 24 años (013)",172,158,38,34,45,30,10,1,,,14,262
"De 25 a 29 años (014)",202,190,13,27,59,47,34,10,,,12,496
"De 30 a 34 años (015)",241,226,6,15,27,55,92,28,,3,15,860
"De 35 a 39 años (016)",308,299,10,15,32,51,100,55,25,11,9,1376
"De 40 a 44 años (017)",383,372,21,16,21,33,130,97,37,17,11,1862
"De 45 a 49 años (018)",412,400,18,18,14,25,102,105,59,59,12,2440
"De 50 y más años (019)",2197,2141,83,78,77,90,290,439,500,584,56,15685
"Educacion Inicial (020)",44,42,10,6,9,8,9,,,,2,88
"De 12 a 14 años (021)",6,5,5,,,,,,,,1,
"De 15 a 19 años (022)",5,5,4,1,,,,,,,,1
