"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SECHURA (000)",15117,89,277,752,1426,2731,6961,2881
"De 12 a 14 años (001)",9,,,,,,,9
"De 15 a 19 años (002)",544,,,,,,350,194
"De 20 a 24 años (003)",2157,,,,,3,1484,670
"De 25 a 29 años (004)",2311,,,,,45,1766,500
"De 30 a 34 años (005)",1985,,,,1,186,1491,307
"De 35 a 39 años (006)",1823,,,,11,449,1122,241
"De 40 a 44 años (007)",1434,,,,53,641,543,197
"De 45 a 49 años (008)",1222,,,2,185,707,183,145
"De 50 y más años (009)",3632,89,277,750,1176,700,22,618
"Conviviente (010)",5271,2,8,59,135,524,3537,1006
"De 12 a 14 años (011)",6,,,,,,,6
"De 15 a 19 años (012)",450,,,,,,289,161
"De 20 a 24 años (013)",1456,,,,,1,1096,359
"De 25 a 29 años (014)",1187,,,,,16,969,202
"De 30 a 34 años (015)",780,,,,,60,624,96
"De 35 a 39 años (016)",567,,,,6,121,381,59
"De 40 a 44 años (017)",298,,,,12,118,130,38
"De 45 a 49 años (018)",207,,,,19,118,42,28
"De 50 y más años (019)",320,2,8,59,98,90,6,57
"Separado(a) (020)",884,4,11,40,95,207,314,213
"De 15 a 19 años (022)",32,,,,,,22,10
"De 20 a 24 años (023)",103,,,,,2,68,33
"De 25 a 29 años (024)",117,,,,,9,76,32
"De 30 a 34 años (025)",124,,,,,29,67,28
"De 35 a 39 años (026)",116,,,,,53,43,20
"De 40 a 44 años (027)",102,,,,8,48,27,19
"De 45 a 49 años (028)",94,,,,19,44,11,20
"De 50 y más años (029)",196,4,11,40,68,22,,51
"Casado(a) (030)",7064,19,112,445,1005,1823,2890,770
"De 12 a 14 años (031)",2,,,,,,,2
"De 15 a 19 años (032)",33,,,,,,21,12
"De 20 a 24 años (033)",339,,,,,,263,76
"De 25 a 29 años (034)",763,,,,,10,659,94
"De 30 a 34 años (035)",905,,,,,73,759,73
"De 35 a 39 años (036)",997,,,,4,246,672,75
"De 40 a 44 años (037)",934,,,,27,444,375,88
"De 45 a 49 años (038)",822,,,,129,509,125,59
"De 50 y más años (039)",2269,19,112,445,845,541,16,291
"Viudo(a) (040)",836,62,142,195,149,102,30,156
"De 20 a 24 años (043)",2,,,,,,2,
"De 25 a 29 años (044)",8,,,,,2,5,1
"De 30 a 34 años (045)",16,,,,,5,9,2
"De 35 a 39 años (046)",17,,,,,11,5,1
"De 40 a 44 años (047)",27,,,,1,17,5,4
"De 45 a 49 años (048)",39,,,,5,25,4,5
"De 50 y más años (049)",727,62,142,195,143,42,,143
"Divorciado(a) (050)",25,,,2,3,7,3,10
"De 15 a 19 años (052)",1,,,,,,1,
