"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia ISLAY (000)",14852,212,565,1149,1884,2966,4154,3922
"De 12 a 14 años (001)",11,,,,,,1,10
"De 15 a 19 años (002)",235,,,,,,126,109
"De 20 a 24 años (003)",1138,,,,,3,593,542
"De 25 a 29 años (004)",1728,,,,,95,1059,574
"De 30 a 34 años (005)",1903,,,,1,365,1062,475
"De 35 a 39 años (006)",1793,,,,28,652,770,343
"De 40 a 44 años (007)",1631,,,1,159,732,401,338
"De 45 a 49 años (008)",1391,,,24,364,628,122,253
"De 50 y más años (009)",5022,212,565,1124,1332,491,20,1278
"Sin nivel (010)",1528,53,111,239,298,270,156,401
"De 15 a 19 años (012)",4,,,,,,2,2
"De 20 a 24 años (013)",14,,,,,,9,5
"De 25 a 29 años (014)",14,,,,,1,9,4
"De 30 a 34 años (015)",85,,,,,20,41,24
"De 35 a 39 años (016)",113,,,,,47,47,19
"De 40 a 44 años (017)",123,,,,4,56,36,27
"De 45 a 49 años (018)",125,,,3,30,56,10,26
"De 50 y más años (019)",1050,53,111,236,264,90,2,294
"Educacion Inicial (020)",13,,,,,2,6,5
"De 20 a 24 años (023)",1,,,,,,,1
"De 25 a 29 años (024)",5,,,,,1,3,1
"De 30 a 34 años (025)",4,,,,,,2,2
"De 35 a 39 años (026)",3,,,,,1,1,1
"Primaria (030)",3616,109,259,442,632,753,659,762
"De 12 a 14 años (031)",4,,,,,,1,3
"De 15 a 19 años (032)",24,,,,,,14,10
"De 20 a 24 años (033)",104,,,,,,70,34
"De 25 a 29 años (034)",191,,,,,12,121,58
"De 30 a 34 años (035)",342,,,,,75,201,66
"De 35 a 39 años (036)",362,,,,13,146,137,66
"De 40 a 44 años (037)",382,,,,47,178,75,82
"De 45 a 49 años (038)",376,,,6,104,179,32,55
"De 50 y más años (039)",1831,109,259,436,468,163,8,388
"Secundaria (040)",4379,26,88,215,464,917,1593,1076
"De 12 a 14 años (041)",7,,,,,,,7
"De 15 a 19 años (042)",154,,,,,,82,72
"De 20 a 24 años (043)",534,,,,,3,311,220
"De 25 a 29 años (044)",680,,,,,46,438,196
"De 30 a 34 años (045)",625,,,,,132,362,131
"De 35 a 39 años (046)",565,,,,10,230,233,92
"De 40 a 44 años (047)",511,,,1,69,221,128,92
"De 45 a 49 años (048)",417,,,11,125,174,37,70
"De 50 y más años (049)",886,26,88,203,260,111,2,196
"Sup. no Univ. incompleta (050)",1201,4,21,36,110,226,446,358
"De 15 a 19 años (052)",39,,,,,,23,16
"De 20 a 24 años (053)",184,,,,,,74,110
