"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CELENDIN (000)",23866,2766,3391,13533,334,3124,718
"Sin nivel (001)",2520,27,373,1577,61,343,139
"Educación inicial (002)",28,1,4,13,,5,5
"Primaria (003)",14203,222,2181,9026,182,2171,421
"Secundaria (004)",3835,355,682,2093,52,523,130
"Superior no univ. incompleta (005)",444,153,49,197,9,27,9
"Superior no univ. completa (006)",1895,1342,69,419,16,36,13
"Superior univ. incompleta (007)",176,87,15,61,4,8,1
"Superior univ. completa (008)",765,579,18,147,10,11,
"Hombres (010)",18144,1462,2909,11058,287,2397,31
"Sin nivel (011)",1619,3,239,1104,53,211,9
"Educación inicial (012)",12,1,2,6,,3,
"Primaria (013)",11568,120,1896,7668,157,1712,15
"Secundaria (014)",3049,229,633,1711,47,422,7
"Superior no univ. incompleta (015)",291,81,45,142,6,17,
"Superior no univ. completa (016)",1008,645,64,268,12,19,
"Superior univ. incompleta (017)",129,58,14,48,2,7,
"Superior univ. completa (018)",468,325,16,111,10,6,
"Mujeres (020)",5722,1304,482,2475,47,727,687
"Sin nivel (021)",901,24,134,473,8,132,130
"Educación inicial (022)",16,,2,7,,2,5
"Primaria (023)",2635,102,285,1358,25,459,406
"Secundaria (024)",786,126,49,382,5,101,123
"Superior no univ. incompleta (025)",153,72,4,55,3,10,9
"Superior no univ. completa (026)",887,697,5,151,4,17,13
"Superior univ. incompleta (027)",47,29,1,13,2,1,1
"Superior univ. completa (028)",297,254,2,36,,5,
,,,,,,,
"URBANA (030)",7208,2294,923,3150,84,427,330
"Sin nivel (031)",325,14,47,188,3,33,40
"Educación inicial (032)",20,1,3,8,,3,5
"Primaria (033)",2294,141,418,1336,28,184,187
"Secundaria (034)",1806,294,340,929,18,148,77
"Superior no univ. incompleta (035)",339,119,37,150,7,18,8
"Superior no univ. completa (036)",1597,1144,50,350,14,27,12
"Superior univ. incompleta (037)",144,69,11,53,4,6,1
"Superior univ. completa (038)",683,512,17,136,10,8,
"Hombres (040)",4369,1181,822,2056,59,239,12
"Sin nivel (041)",123,2,35,65,1,20,
"Educación inicial (042)",7,1,2,2,,2,
"Primaria (043)",1453,74,369,881,17,104,8
"Secundaria (044)",1234,181,311,642,14,82,4
"Superior no univ. incompleta (045)",214,63,33,101,5,12,
"Superior no univ. completa (046)",817,529,47,220,10,11,
"Superior univ. incompleta (047)",105,46,10,42,2,5,
"Superior univ. completa (048)",416,285,15,103,10,3,
"Mujeres (050)",2839,1113,101,1094,25,188,318
"Sin nivel (051)",202,12,12,123,2,13,40
"Educación inicial (052)",13,,1,6,,1,5
"Primaria (053)",841,67,49,455,11,80,179
"Secundaria (054)",572,113,29,287,4,66,73
"Superior no univ. incompleta (055)",125,56,4,49,2,6,8
"Superior no univ. completa (056)",780,615,3,130,4,16,12
"Superior univ. incompleta (057)",39,23,1,11,2,1,1
"Superior univ. completa (058)",267,227,2,33,,5,
,,,,,,,
"RURAL (060)",16658,472,2468,10383,250,2697,388
"Sin nivel (061)",2195,13,326,1389,58,310,99
"Educación inicial (062)",8,,1,5,,2,
"Primaria (063)",11909,81,1763,7690,154,1987,234
"Secundaria (064)",2029,61,342,1164,34,375,53
"Superior no univ. incompleta (065)",105,34,12,47,2,9,1
"Superior no univ. completa (066)",298,198,19,69,2,9,1
"Superior univ. incompleta (067)",32,18,4,8,,2,
"Superior univ. completa (068)",82,67,1,11,,3,
"Hombres (070)",13775,281,2087,9002,228,2158,19
"Sin nivel (071)",1496,1,204,1039,52,191,9
"Educación inicial (072)",5,,,4,,1,
"Primaria (073)",10115,46,1527,6787,140,1608,7
"Secundaria (074)",1815,48,322,1069,33,340,3
"Superior no univ. incompleta (075)",77,18,12,41,1,5,
"Superior no univ. completa (076)",191,116,17,48,2,8,
"Superior univ. incompleta (077)",24,12,4,6,,2,
"Superior univ. completa (078)",52,40,1,8,,3,
"Mujeres (080)",2883,191,381,1381,22,539,369
"Sin nivel (081)",699,12,122,350,6,119,90
"Educación inicial (082)",3,,1,1,,1,
"Primaria (083)",1794,35,236,903,14,379,227
"Secundaria (084)",214,13,20,95,1,35,50
"Superior no univ. incompleta (085)",28,16,,6,1,4,1
"Superior no univ. completa (086)",107,82,2,21,,1,1
"Superior univ. incompleta (087)",8,6,,2,,,
"Superior univ. completa (088)",30,27,,3,,,
