"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LAMAS (000)",67841,16812,21390,15050,10595,3994
"Sin nivel (001)",6118,573,782,1270,2151,1342
"Educación inicial (002)",707,639,42,26,,
"Primaria (003)",41905,13309,10686,9152,6418,2340
"Secundaria (004)",15714,2291,8455,3344,1420,204
"Superior no univ. incompleta (005)",892,,564,234,82,12
"Superior no univ. completa (006)",1234,,381,554,250,49
"Superior univ. incompleta (007)",467,,273,118,69,7
"Superior univ. completa (008)",804,,207,352,205,40
"PEA (010)",33315,1526,12235,10469,7251,1834
"Sin nivel (011)",2792,102,401,668,1126,495
"Educación inicial (012)",62,24,21,17,,
"Primaria (013)",19966,1211,6816,6231,4497,1211
"Secundaria (014)",8085,189,4223,2462,1119,92
"Superior no univ. incompleta (015)",513,,255,182,70,6
"Superior no univ. completa (016)",1002,,291,491,209,11
"Superior univ. incompleta (017)",242,,80,102,57,3
"Superior univ. completa (018)",653,,148,316,173,16
"Ocupada (020)",32666,1478,11900,10321,7157,1810
"Sin nivel (021)",2753,98,392,659,1114,490
"Educación inicial (022)",62,24,21,17,,
"Primaria (023)",19639,1177,6670,6153,4447,1192
"Secundaria (024)",7873,179,4088,2418,1096,92
"Superior no univ. incompleta (025)",499,,243,180,70,6
"Superior no univ. completa (026)",972,,270,486,205,11
"Superior univ. incompleta (027)",238,,78,100,57,3
"Superior univ. completa (028)",630,,138,308,168,16
"Desocupada (030)",649,48,335,148,94,24
