"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",11678,11158,56,2025,1861,1675,2507,1644,888,502,520,45414
"De 12 a 14 años (001)",51,23,,21,2,,,,,,28,25
"De 15 a 19 años (002)",1064,923,10,683,190,33,7,,,,141,1190
"De 20 a 24 años (003)",1953,1810,17,655,636,352,139,11,,,143,3635
"De 25 a 29 años (004)",1815,1715,6,291,444,458,447,63,6,,100,4912
"De 30 a 34 años (005)",1420,1393,4,118,231,292,524,179,39,6,27,5303
"De 35 a 39 años (006)",1328,1306,4,72,132,231,445,308,88,26,22,5992
"De 40 a 44 años (007)",1036,1028,3,40,66,107,306,294,157,55,8,5671
"De 45 a 49 años (008)",854,844,1,43,56,71,197,233,165,78,10,4991
"De 50 y más años (009)",2157,2116,11,102,104,131,442,556,433,337,41,13695
"Sin nivel (010)",1671,1620,4,103,119,145,404,386,288,171,51,9373
"De 12 a 14 años (011)",1,1,,1,,,,,,,,1
"De 15 a 19 años (012)",35,32,,15,12,5,,,,,3,54
"De 20 a 24 años (013)",80,70,,16,18,19,13,4,,,10,193
"De 25 a 29 años (014)",92,86,,6,11,20,43,5,1,,6,314
"De 30 a 34 años (015)",106,106,1,2,6,13,44,29,9,2,,540
"De 35 a 39 años (016)",159,155,,3,10,12,54,46,24,6,4,862
"De 40 a 44 años (017)",152,150,1,6,8,11,32,43,37,12,2,910
"De 45 a 49 años (018)",181,180,,8,12,19,29,46,47,19,1,1119
"De 50 y más años (019)",865,840,2,46,42,46,189,213,170,132,25,5380
"Educacion Inicial (020)",10,10,,3,3,2,1,1,,,,26
"De 15 a 19 años (022)",1,1,,1,,,,,,,,1
