"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia SAN MARCOS (000)",15297,1668,2029,7913,211,2299,322,855
"Agric., ganadería, caza y silvicultura (001)",9565,13,1386,5944,148,2074,,
"Pesca (002)",3,1,1,,,1,,
"Explotación de minas y canteras (003)",37,11,20,4,,2,,
"Industrias manufactureras (004)",463,12,90,337,8,16,,
"Suministro de electricidad, gas y agua (005)",12,2,4,4,1,1,,
"Construcción (006)",388,14,271,77,15,11,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1095,161,13,830,12,79,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",68,2,5,58,2,1,,
"Comercio al por mayor (009)",46,20,1,22,,3,,
"Comercio al por menor (010)",981,139,7,750,10,75,,
"Hoteles y restaurantes (011)",184,66,10,93,1,14,,
"Trans., almac. y comunicaciones (012)",302,83,28,185,6,,,
"Intermediación financiera (013)",11,11,,,,,,
"Activid.inmobil., empres. y alquileres (014)",158,127,6,18,6,1,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",189,158,31,,,,,
"Enseñanza (016)",760,688,,70,1,1,,
"Servicios sociales y de salud (017)",133,111,4,17,,1,,
"Otras activ. serv.comun.soc y personales (018)",247,92,65,78,,12,,
"Hogares privados con servicio doméstico (019)",322,,,,,,322,
"Actividad economica no especificada (021)",573,118,100,256,13,86,,
"Desocupado (022)",855,,,,,,,855
"Hombres (023)",12029,938,1699,6986,200,1527,20,659
"Agric., ganadería, caza y silvicultura (024)",8431,13,1126,5705,146,1441,,
"Pesca (025)",3,1,1,,,1,,
"Explotación de minas y canteras (026)",30,8,17,3,,2,,
"Industrias manufactureras (027)",354,10,73,252,7,12,,
"Suministro de electricidad, gas y agua (028)",12,2,4,4,1,1,,
"Construcción (029)",383,13,268,76,15,11,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",647,93,13,506,9,26,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",63,1,5,54,2,1,,
"Comercio al por mayor (032)",25,12,1,12,,,,
"Comercio al por menor (033)",559,80,7,440,7,25,,
"Hoteles y restaurantes (034)",44,17,6,17,1,3,,
"Trans., almac. y comunicaciones (035)",282,71,24,182,5,,,
"Intermediación financiera (036)",8,8,,,,,,
"Activid.inmobil., empres. y alquileres (037)",86,66,4,12,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",151,124,27,,,,,
"Enseñanza (039)",395,359,,35,1,,,
"Servicios sociales y de salud (040)",45,31,,13,,1,,
"Otras activ. serv.comun.soc y personales (041)",169,54,58,51,,6,,
"Hogares privados con servicio doméstico (042)",20,,,,,,20,
"Actividad economica no especificada (044)",310,68,78,130,11,23,,
"Desocupado (045)",659,,,,,,,659
"Mujeres (046)",3268,730,330,927,11,772,302,196
"Agric., ganadería, caza y silvicultura (047)",1134,,260,239,2,633,,
"Explotación de minas y canteras (049)",7,3,3,1,,,,
"Industrias manufactureras (050)",109,2,17,85,1,4,,
"Construcción (052)",5,1,3,1,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",448,68,,324,3,53,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",5,1,,4,,,,
"Comercio al por mayor (055)",21,8,,10,,3,,
"Comercio al por menor (056)",422,59,,310,3,50,,
"Hoteles y restaurantes (057)",140,49,4,76,,11,,
"Trans., almac. y comunicaciones (058)",20,12,4,3,1,,,
"Intermediación financiera (059)",3,3,,,,,,
"Activid.inmobil., empres. y alquileres (060)",72,61,2,6,2,1,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",38,34,4,,,,,
"Enseñanza (062)",365,329,,35,,1,,
"Servicios sociales y de salud (063)",88,80,4,4,,,,
"Otras activ. serv.comun.soc y personales (064)",78,38,7,27,,6,,
"Hogares privados con servicio doméstico (065)",302,,,,,,302,
"Actividad economica no especificada (067)",263,50,22,126,2,63,,
"Desocupado (068)",196,,,,,,,196
,,,,,,,,
"URBANA (069)",4526,1364,536,1978,63,247,155,183
"Agric., ganadería, caza y silvicultura (070)",1008,13,181,660,19,135,,
"Pesca (071)",1,,1,,,,,
"Explotación de minas y canteras (072)",12,9,3,,,,,
"Industrias manufactureras (073)",237,10,44,174,6,3,,
"Suministro de electricidad, gas y agua (074)",4,2,,2,,,,
"Construcción (075)",228,12,163,49,1,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",879,144,11,649,12,63,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",55,2,3,47,2,1,,
"Comercio al por mayor (078)",37,20,1,13,,3,,
"Comercio al por menor (079)",787,122,7,589,10,59,,
"Hoteles y restaurantes (080)",126,49,6,59,1,11,,
"Trans., almac. y comunicaciones (081)",213,70,18,120,5,,,
"Intermediación financiera (082)",10,10,,,,,,
"Activid.inmobil., empres. y alquileres (083)",142,115,6,14,6,1,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",138,118,20,,,,,
"Enseñanza (085)",624,568,,54,1,1,,
"Servicios sociales y de salud (086)",107,91,1,14,,1,,
"Otras activ. serv.comun.soc y personales (087)",197,75,50,64,,8,,
"Hogares privados con servicio doméstico (088)",155,,,,,,155,
"Actividad economica no especificada (090)",262,78,32,119,12,21,,
"Desocupado (091)",183,,,,,,,183
"Hombres (092)",3034,769,476,1448,55,147,7,132
"Agric., ganadería, caza y silvicultura (093)",889,13,150,605,19,102,,
"Pesca (094)",1,,1,,,,,
"Explotación de minas y canteras (095)",9,6,3,,,,,
"Industrias manufactureras (096)",186,8,42,127,6,3,,
"Suministro de electricidad, gas y agua (097)",4,2,,2,,,,
"Construcción (098)",224,12,160,48,1,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",518,85,11,392,9,21,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",50,1,3,43,2,1,,
"Comercio al por mayor (101)",17,12,1,4,,,,
"Comercio al por menor (102)",451,72,7,345,7,20,,
"Hoteles y restaurantes (103)",34,14,4,12,1,3,,
"Trans., almac. y comunicaciones (104)",202,63,16,119,4,,,
"Intermediación financiera (105)",7,7,,,,,,
"Activid.inmobil., empres. y alquileres (106)",76,59,4,9,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",111,94,17,,,,,
"Enseñanza (108)",321,293,,27,1,,,
"Servicios sociales y de salud (109)",39,28,,10,,1,,
"Otras activ. serv.comun.soc y personales (110)",127,43,43,39,,2,,
"Hogares privados con servicio doméstico (111)",7,,,,,,7,
"Actividad economica no especificada (113)",147,42,25,58,10,12,,
"Desocupado (114)",132,,,,,,,132
"Mujeres (115)",1492,595,60,530,8,100,148,51
"Agric., ganadería, caza y silvicultura (116)",119,,31,55,,33,,
"Explotación de minas y canteras (118)",3,3,,,,,,
"Industrias manufactureras (119)",51,2,2,47,,,,
"Construcción (121)",4,,3,1,,,,
