"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PACHITEA (000)",55830,3492,9277,8569,5988,9666,7016,8971,2851
"Sabe leer y escribir (001)",36800,,5205,8124,5396,7729,4792,4670,884
"No sabe leer y escribir (002)",19030,3492,4072,445,592,1937,2224,4301,1967
"Hombres (004)",28214,1710,4647,4396,3068,4729,3549,4678,1437
"Sabe leer y escribir (005)",20756,,2651,4198,2885,4179,2862,3272,709
"No sabe leer y escribir (006)",7458,1710,1996,198,183,550,687,1406,728
"Mujeres (008)",27616,1782,4630,4173,2920,4937,3467,4293,1414
"Sabe leer y escribir (009)",16044,,2554,3926,2511,3550,1930,1398,175
"No sabe leer y escribir (010)",11572,1782,2076,247,409,1387,1537,2895,1239
,,,,,,,,,
"URBANA (012)",8127,410,1086,1181,943,1407,1231,1485,384
"Sabe leer y escribir (013)",6536,,810,1164,911,1280,1064,1082,225
"No sabe leer y escribir (014)",1591,410,276,17,32,127,167,403,159
"Hombres (016)",4092,202,557,602,489,661,599,786,196
"Sabe leer y escribir (017)",3515,,419,594,481,636,558,673,154
"No sabe leer y escribir (018)",577,202,138,8,8,25,41,113,42
"Mujeres (020)",4035,208,529,579,454,746,632,699,188
"Sabe leer y escribir (021)",3021,,391,570,430,644,506,409,71
"No sabe leer y escribir (022)",1014,208,138,9,24,102,126,290,117
,,,,,,,,,
"RURAL (024)",47703,3082,8191,7388,5045,8259,5785,7486,2467
"Sabe leer y escribir (025)",30264,,4395,6960,4485,6449,3728,3588,659
"No sabe leer y escribir (026)",17439,3082,3796,428,560,1810,2057,3898,1808
"Hombres (028)",24122,1508,4090,3794,2579,4068,2950,3892,1241
"Sabe leer y escribir (029)",17241,,2232,3604,2404,3543,2304,2599,555
"No sabe leer y escribir (030)",6881,1508,1858,190,175,525,646,1293,686
"Mujeres (032)",23581,1574,4101,3594,2466,4191,2835,3594,1226
"Sabe leer y escribir (033)",13023,,2163,3356,2081,2906,1424,989,104
"No sabe leer y escribir (034)",10558,1574,1938,238,385,1285,1411,2605,1122
