"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PUNO (000)",93680,69421,6393,5561,12305
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",260,17,50,42,151
"Profes., científicos e intelectuales (002)",12425,2341,1893,2991,5200
"Técnicos de nivel medio y trab. asimilados (003)",3863,1763,440,410,1250
"Jefes y empleados de oficina (004)",3832,656,344,516,2316
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",9986,8719,624,312,331
"Agricult.trabaj.calif.agrop.y pesqueros (006)",17723,17347,364,8,4
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",8131,6953,652,228,298
"Obreros construc.,conf.,papel, fab., instr. (008)",7428,5852,664,441,471
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",27374,24752,1245,542,835
"Otra (010)",1358,,,,1358
"Ocupación no especificada (011)",1300,1021,117,71,91
"Hombres (012)",52386,36782,4031,3473,8100
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",194,6,36,36,116
"Profes., científicos e intelectuales (014)",7184,1361,1069,1654,3100
"Técnicos de nivel medio y trab. asimilados (015)",2565,1286,287,285,707
"Jefes y empleados de oficina (016)",2021,286,173,257,1305
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",3397,2598,361,210,228
"Agricult.trabaj.calif.agrop.y pesqueros (018)",12967,12662,298,5,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",3937,3181,385,152,219
"Obreros construc.,conf.,papel, fab., instr. (020)",7061,5528,646,428,459
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",11201,9466,703,400,632
"Otra (022)",1274,,,,1274
"Ocupación no especificada (023)",585,408,73,46,58
"Mujeres (024)",41294,32639,2362,2088,4205
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",66,11,14,6,35
"Profes., científicos e intelectuales (026)",5241,980,824,1337,2100
"Técnicos de nivel medio y trab. asimilados (027)",1298,477,153,125,543
"Jefes y empleados de oficina (028)",1811,370,171,259,1011
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",6589,6121,263,102,103
"Agricult.trabaj.calif.agrop.y pesqueros (030)",4756,4685,66,3,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",4194,3772,267,76,79
