"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia ANTA (000)",16395,33,640,290,256,1583,6904,720,1397,4055,53,464
"Agric., ganadería, caza y silvicultura (001)",9548,,8,26,,,6903,5,24,2582,,
"Pesca (002)",1,,,,,,1,,,,,
"Explotación de minas y canteras (003)",21,,,1,,,,9,,11,,
"Industrias manufactureras (004)",563,,2,15,9,4,,470,55,8,,
"Suministro de electricidad, gas y agua (005)",32,,,7,,,,9,8,8,,
"Construcción (006)",1065,,6,10,2,,,29,660,358,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1648,,3,28,4,1173,,183,9,248,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",202,,1,4,,40,,148,7,2,,
"Comercio al por mayor (009)",63,,,3,2,56,,,,2,,
"Comercio al por menor (010)",1383,,2,21,2,1077,,35,2,244,,
"Hoteles y restaurantes (011)",571,1,4,12,13,312,,1,,228,,
"Trans., almac. y comunicaciones (012)",820,,1,14,28,21,,3,604,149,,
"Intermediación financiera (013)",6,,,1,3,1,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",195,1,54,38,20,32,,3,9,38,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",452,29,18,18,145,15,,4,16,154,53,
"Enseñanza (016)",521,1,485,3,12,,,,,20,,
"Servicios sociales y de salud (017)",122,1,27,78,1,2,,3,2,8,,
"Otras activ. serv.comun.soc y personales (018)",175,,30,36,7,22,,1,10,69,,
"Hogares privados con servicio doméstico (019)",174,,,1,,1,,,,172,,
"Actividad economica no especificada (021)",481,,2,2,12,,,,,1,,464
"Hombres (022)",12033,27,327,176,168,459,6232,609,1358,2504,51,122
"Agric., ganadería, caza y silvicultura (023)",7931,,7,20,,,6232,5,24,1643,,
"Explotación de minas y canteras (025)",20,,,1,,,,9,,10,,
"Industrias manufactureras (026)",429,,2,12,6,,,367,35,7,,
"Suministro de electricidad, gas y agua (027)",31,,,7,,,,8,8,8,,
"Construcción (028)",1049,,6,7,2,,,29,651,354,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",641,,2,22,2,346,,177,9,83,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",188,,1,3,,31,,144,7,2,,
