"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MELGAR (000)",19325,18325,127,3562,3569,2802,4301,2561,1096,307,1000,67027
"De 12 a 14 años (001)",25,13,1,9,3,,,,,,12,15
"De 15 a 19 años (002)",426,374,8,327,32,3,4,,,,52,416
"De 20 a 24 años (003)",1941,1586,25,990,440,103,27,1,,,355,2294
"De 25 a 29 años (004)",2336,2066,15,767,692,370,207,14,1,,270,4232
"De 30 a 34 años (005)",2343,2228,15,420,701,513,470,100,9,,115,6116
"De 35 a 39 años (006)",2248,2191,9,265,483,470,644,243,69,8,57,7656
"De 40 a 44 años (007)",2040,2014,8,158,335,356,648,336,137,36,26,8459
"De 45 a 49 años (008)",1633,1615,3,122,207,249,488,356,157,33,18,7414
"De 50 y más años (009)",6333,6238,43,504,676,738,1813,1511,723,230,95,30425
"Sin nivel (010)",4648,4568,40,407,523,493,1296,1137,522,150,80,22018
"De 12 a 14 años (011)",2,2,,1,1,,,,,,,3
"De 15 a 19 años (012)",5,4,,3,,,1,,,,1,7
"De 20 a 24 años (013)",32,22,1,10,8,3,,,,,10,35
"De 25 a 29 años (014)",58,51,,13,17,6,11,3,1,,7,139
"De 30 a 34 años (015)",89,87,,8,17,17,29,14,2,,2,328
"De 35 a 39 años (016)",142,139,1,14,14,25,44,29,8,4,3,608
"De 40 a 44 años (017)",232,230,2,18,33,17,69,63,22,6,2,1098
"De 45 a 49 años (018)",254,252,1,21,22,23,69,73,38,5,2,1286
"De 50 y más años (019)",3834,3781,35,319,411,402,1073,955,451,135,53,18514
"Educacion Inicial (020)",17,16,,2,3,3,6,2,,,1,56
"De 12 a 14 años (021)",1,1,,,1,,,,,,,2
