"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia UCAYALI (000)",693,182,511
"Sin nivel (001)",27,3,24
"Primaria (003)",269,70,199
"Secundaria (004)",326,92,234
"Superior no univ. incompleta (005)",18,5,13
"Superior no univ. completa (006)",30,9,21
"Superior univ. incompleta (007)",6,,6
"Superior univ. completa (008)",17,3,14
"Hombres (010)",552,143,409
"Sin nivel (011)",20,,20
"Primaria (013)",222,60,162
"Secundaria (014)",257,71,186
"Superior no univ. incompleta (015)",16,4,12
"Superior no univ. completa (016)",20,6,14
"Superior univ. incompleta (017)",4,,4
"Superior univ. completa (018)",13,2,11
"Mujeres (020)",141,39,102
"Sin nivel (021)",7,3,4
"Primaria (023)",47,10,37
"Secundaria (024)",69,21,48
"Superior no univ. incompleta (025)",2,1,1
"Superior no univ. completa (026)",10,3,7
"Superior univ. incompleta (027)",2,,2
"Superior univ. completa (028)",4,1,3
,,,
"AREA URBANA (030)",430,110,320
"Sin nivel (031)",11,2,9
"Primaria (033)",132,31,101
"Secundaria (034)",226,62,164
"Superior no univ. incompleta (035)",13,4,9
"Superior no univ. completa (036)",26,8,18
"Superior univ. incompleta (037)",6,,6
"Superior univ. completa (038)",16,3,13
"Hombres (040)",309,78,231
"Sin nivel (041)",5,,5
"Primaria (043)",100,24,76
"Secundaria (044)",161,44,117
"Superior no univ. incompleta (045)",11,3,8
"Superior no univ. completa (046)",16,5,11
"Superior univ. incompleta (047)",4,,4
"Superior univ. completa (048)",12,2,10
"Mujeres (050)",121,32,89
"Sin nivel (051)",6,2,4
"Primaria (053)",32,7,25
"Secundaria (054)",65,18,47
"Superior no univ. incompleta (055)",2,1,1
"Superior no univ. completa (056)",10,3,7
"Superior univ. incompleta (057)",2,,2
"Superior univ. completa (058)",4,1,3
,,,
"AREA RURAL (060)",263,72,191
"Sin nivel (061)",16,1,15
"Primaria (063)",137,39,98
"Secundaria (064)",100,30,70
"Superior no univ. incompleta (065)",5,1,4
"Superior no univ. completa (066)",4,1,3
"Superior univ. completa (068)",1,,1
"Hombres (070)",243,65,178
"Sin nivel (071)",15,,15
"Primaria (073)",122,36,86
"Secundaria (074)",96,27,69
"Superior no univ. incompleta (075)",5,1,4
"Superior no univ. completa (076)",4,1,3
"Superior univ. completa (078)",1,,1
"Mujeres (080)",20,7,13
"Sin nivel (081)",1,1,
"Primaria (083)",15,3,12
"Secundaria (084)",4,3,1
