"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia AREQUIPA (000)",864250,858374,4125,1751
"Hombres (001)",415972,413146,1888,938
"Mujeres (002)",448278,445228,2237,813
"Menores de 1 año (003)",13385,11626,1372,387
"Hombres (004)",6840,5931,711,198
"Mujeres (005)",6545,5695,661,189
"De 1 a 5 años (006)",70187,67134,1789,1264
"Hombres (007)",35801,34157,940,704
"Mujeres (008)",34386,32977,849,560
"De 6 a 14 años (009)",136699,136576,88,35
"Hombres (010)",69492,69421,50,21
"Mujeres (011)",67207,67155,38,14
"De 15 a 29 años (012)",250538,250493,35,10
"Hombres (013)",121472,121455,12,5
"Mujeres (014)",129066,129038,23,5
"De 30 a 44 años (015)",187377,187315,49,13
"Hombres (016)",86072,86055,14,3
"Mujeres (017)",101305,101260,35,10
"De 45 a 64 años (018)",142348,142236,109,3
"Hombres (019)",66159,66132,27,
"Mujeres (020)",76189,76104,82,3
"De 65 a más años (021)",63716,62994,683,39
"Hombres (022)",30136,29995,134,7
"Mujeres (023)",33580,32999,549,32
,,,,
"URBANA (024)",842880,837182,4014,1684
"Hombres (025)",404443,401706,1834,903
"Mujeres (026)",438437,435476,2180,781
"Menores de 1 año (027)",13030,11318,1338,374
"Hombres (028)",6648,5763,694,191
"Mujeres (029)",6382,5555,644,183
"De 1 a 5 años (030)",68231,65261,1754,1216
"Hombres (031)",34776,33181,918,677
"Mujeres (032)",33455,32080,836,539
"De 6 a 14 años (033)",133118,133000,86,32
"Hombres (034)",67648,67580,48,20
"Mujeres (035)",65470,65420,38,12
"De 15 a 29 años (036)",244930,244886,34,10
"Hombres (037)",118420,118403,12,5
"Mujeres (038)",126510,126483,22,5
"De 30 a 44 años (039)",183039,182979,47,13
"Hombres (040)",83745,83730,12,3
"Mujeres (041)",99294,99249,35,10
"De 45 a 64 años (042)",138693,138590,100,3
"Hombres (043)",64161,64138,23,
"Mujeres (044)",74532,74452,77,3
"De 65 a más años (045)",61839,61148,655,36
"Hombres (046)",29045,28911,127,7
"Mujeres (047)",32794,32237,528,29
,,,,
"RURAL (048)",21370,21192,111,67
"Hombres (049)",11529,11440,54,35
"Mujeres (050)",9841,9752,57,32
"Menores de 1 año (051)",355,308,34,13
"Hombres (052)",192,168,17,7
"Mujeres (053)",163,140,17,6
"De 1 a 5 años (054)",1956,1873,35,48
"Hombres (055)",1025,976,22,27
"Mujeres (056)",931,897,13,21
"De 6 a 14 años (057)",3581,3576,2,3
"Hombres (058)",1844,1841,2,1
"Mujeres (059)",1737,1735,,2
"De 15 a 29 años (060)",5608,5607,1,
"Hombres (061)",3052,3052,,
"Mujeres (062)",2556,2555,1,
"De 30 a 44 años (063)",4338,4336,2,
"Hombres (064)",2327,2325,2,
"Mujeres (065)",2011,2011,,
"De 45 a 64 años (066)",3655,3646,9,
"Hombres (067)",1998,1994,4,
"Mujeres (068)",1657,1652,5,
"De 65 a más años (069)",1877,1846,28,3
"Hombres (070)",1091,1084,7,
"Mujeres (071)",786,762,21,3
