"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONTUMAZA (000)",9230,7464,697,511,558
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",29,,8,4,17
"Profes., científicos e intelectuales (002)",907,336,232,228,111
"Técnicos de nivel medio y trab. asimilados (003)",178,84,14,28,52
"Jefes y empleados de oficina (004)",188,32,21,30,105
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",710,639,45,23,3
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2728,2678,49,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",511,442,22,35,12
"Obreros construc.,conf.,papel, fab., instr. (008)",515,376,57,48,34
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",3254,2740,235,103,176
"Otra (010)",45,,,,45
"Ocupación no especificada (011)",165,137,14,11,3
"Hombres (012)",7235,5937,535,356,407
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",24,,6,4,14
"Profes., científicos e intelectuales (014)",440,134,120,131,55
"Técnicos de nivel medio y trab. asimilados (015)",120,59,12,23,26
"Jefes y empleados de oficina (016)",102,11,11,11,69
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",316,261,35,17,3
"Agricult.trabaj.calif.agrop.y pesqueros (018)",2656,2607,48,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",315,255,20,28,12
"Obreros construc.,conf.,papel, fab., instr. (020)",508,372,57,45,34
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2624,2177,214,86,147
"Otra (022)",45,,,,45
"Ocupación no especificada (023)",85,61,12,10,2
"Mujeres (024)",1995,1527,162,155,151
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",5,,2,,3
"Profes., científicos e intelectuales (026)",467,202,112,97,56
"Técnicos de nivel medio y trab. asimilados (027)",58,25,2,5,26
"Jefes y empleados de oficina (028)",86,21,10,19,36
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",394,378,10,6,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",72,71,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",196,187,2,7,
"Obreros construc.,conf.,papel, fab., instr. (032)",7,4,,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",630,563,21,17,29
