"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia LUYA (000)",15463,1447,1944,8373,666,2547,486
"Sin nivel (001)",1191,8,195,661,43,207,77
"Educación inicial (002)",17,,2,7,,8,
"Primaria (003)",8994,70,1167,5521,412,1528,296
"Secundaria (004)",3521,169,515,1840,178,717,102
"Superior no univ. incompleta (005)",323,125,33,110,19,31,5
"Superior no univ. completa (006)",813,620,20,123,9,35,6
"Superior univ. incompleta (007)",182,104,6,58,1,13,
"Superior univ. completa (008)",422,351,6,53,4,8,
"Hombres (010)",12435,752,1677,7367,625,2000,14
"Sin nivel (011)",813,2,141,514,32,122,2
"Educación inicial (012)",15,,1,7,,7,
"Primaria (013)",7604,28,1001,4971,394,1204,6
"Secundaria (014)",2977,110,477,1609,169,606,6
"Superior no univ. incompleta (015)",219,63,30,82,18,26,
"Superior no univ. completa (016)",422,292,16,87,7,20,
"Superior univ. incompleta (017)",134,64,6,52,1,11,
"Superior univ. completa (018)",251,193,5,45,4,4,
"Mujeres (020)",3028,695,267,1006,41,547,472
"Sin nivel (021)",378,6,54,147,11,85,75
"Educación inicial (022)",2,,1,,,1,
"Primaria (023)",1390,42,166,550,18,324,290
"Secundaria (024)",544,59,38,231,9,111,96
"Superior no univ. incompleta (025)",104,62,3,28,1,5,5
"Superior no univ. completa (026)",391,328,4,36,2,15,6
"Superior univ. incompleta (027)",48,40,,6,,2,
"Superior univ. completa (028)",171,158,1,8,,4,
,,,,,,,
"URBANA (030)",6677,1043,885,3428,286,782,253
"Sin nivel (031)",376,5,61,189,20,70,31
"Educación inicial (032)",4,,1,,,3,
"Primaria (033)",3150,42,472,1966,160,370,140
"Secundaria (034)",1890,142,305,1007,84,280,72
"Superior no univ. incompleta (035)",245,96,23,84,13,24,5
"Superior no univ. completa (036)",563,418,15,102,5,18,5
"Superior univ. incompleta (037)",110,61,4,34,1,10,
"Superior univ. completa (038)",339,279,4,46,3,7,
"Hombres (040)",4878,534,752,2833,262,493,4
"Sin nivel (041)",212,1,39,133,13,26,
"Educación inicial (042)",2,,,,,2,
"Primaria (043)",2448,15,390,1674,153,216,
"Secundaria (044)",1502,97,284,832,76,209,4
"Superior no univ. incompleta (045)",160,49,21,59,12,19,
"Superior no univ. completa (046)",278,185,11,69,4,9,
"Superior univ. incompleta (047)",76,35,4,28,1,8,
"Superior univ. completa (048)",200,152,3,38,3,4,
"Mujeres (050)",1799,509,133,595,24,289,249
"Sin nivel (051)",164,4,22,56,7,44,31
"Educación inicial (052)",2,,1,,,1,
"Primaria (053)",702,27,82,292,7,154,140
"Secundaria (054)",388,45,21,175,8,71,68
"Superior no univ. incompleta (055)",85,47,2,25,1,5,5
"Superior no univ. completa (056)",285,233,4,33,1,9,5
"Superior univ. incompleta (057)",34,26,,6,,2,
"Superior univ. completa (058)",139,127,1,8,,3,
,,,,,,,
"RURAL (060)",8786,404,1059,4945,380,1765,233
"Sin nivel (061)",815,3,134,472,23,137,46
"Educación inicial (062)",13,,1,7,,5,
"Primaria (063)",5844,28,695,3555,252,1158,156
"Secundaria (064)",1631,27,210,833,94,437,30
"Superior no univ. incompleta (065)",78,29,10,26,6,7,
"Superior no univ. completa (066)",250,202,5,21,4,17,1
"Superior univ. incompleta (067)",72,43,2,24,,3,
"Superior univ. completa (068)",83,72,2,7,1,1,
"Hombres (070)",7557,218,925,4534,363,1507,10
"Sin nivel (071)",601,1,102,381,19,96,2
"Educación inicial (072)",13,,1,7,,5,
"Primaria (073)",5156,13,611,3297,241,988,6
"Secundaria (074)",1475,13,193,777,93,397,2
"Superior no univ. incompleta (075)",59,14,9,23,6,7,
"Superior no univ. completa (076)",144,107,5,18,3,11,
"Superior univ. incompleta (077)",58,29,2,24,,3,
"Superior univ. completa (078)",51,41,2,7,1,,
"Mujeres (080)",1229,186,134,411,17,258,223
"Sin nivel (081)",214,2,32,91,4,41,44
"Primaria (083)",688,15,84,258,11,170,150
"Secundaria (084)",156,14,17,56,1,40,28
"Superior no univ. incompleta (085)",19,15,1,3,,,
"Superior no univ. completa (086)",106,95,,3,1,6,1
"Superior univ. incompleta (087)",14,14,,,,,
"Superior univ. completa (088)",32,31,,,,1,
