"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SULLANA (000)",5611,78,2899,1563,904,167
"Conviviente (001)",1208,2,459,481,218,48
"Separado(a) (002)",211,,55,94,49,13
"Casado(a) (003)",1291,,202,532,486,71
"Viudo(a) (004)",59,,5,5,29,20
"Divorciado(a) (005)",10,,,4,4,2
"Soltero(a) (006)",2832,76,2178,447,118,13
"Hombres (008)",4157,60,2000,1159,785,153
"Conviviente (009)",934,1,321,377,188,47
"Separado(a) (010)",97,,16,37,34,10
"Casado(a) (011)",1065,,136,421,439,69
"Viudo(a) (012)",41,,4,1,22,14
"Divorciado(a) (013)",8,,,3,4,1
"Soltero(a) (014)",2012,59,1523,320,98,12
"Mujeres (016)",1454,18,899,404,119,14
"Conviviente (017)",274,1,138,104,30,1
"Separado(a) (018)",114,,39,57,15,3
"Casado(a) (019)",226,,66,111,47,2
"Viudo(a) (020)",18,,1,4,7,6
"Divorciado(a) (021)",2,,,1,,1
"Soltero(a) (022)",820,17,655,127,20,1
,,,,,,
"AREA URBANA (024)",5081,54,2622,1433,828,144
"Conviviente (025)",1114,1,430,440,202,41
"Separado(a) (026)",200,,54,88,46,12
"Casado(a) (027)",1161,,179,477,443,62
"Viudo(a) (028)",51,,4,5,26,16
"Divorciado(a) (029)",10,,,4,4,2
"Soltero(a) (030)",2545,53,1955,419,107,11
"Hombres (032)",3695,39,1765,1043,716,132
"Conviviente (033)",845,1,292,338,173,41
"Separado(a) (034)",93,,15,35,33,10
"Casado(a) (035)",947,,115,372,400,60
"Viudo(a) (036)",33,,3,1,19,10
"Divorciado(a) (037)",8,,,3,4,1
"Soltero(a) (038)",1769,38,1340,294,87,10
"Mujeres (040)",1386,15,857,390,112,12
"Conviviente (041)",269,,138,102,29,
"Separado(a) (042)",107,,39,53,13,2
"Casado(a) (043)",214,,64,105,43,2
"Viudo(a) (044)",18,,1,4,7,6
"Divorciado(a) (045)",2,,,1,,1
"Soltero(a) (046)",776,15,615,125,20,1
,,,,,,
"AREA RURAL (048)",530,24,277,130,76,23
"Conviviente (049)",94,1,29,41,16,7
"Separado(a) (050)",11,,1,6,3,1
"Casado(a) (051)",130,,23,55,43,9
"Viudo(a) (052)",8,,1,,3,4
"Soltero(a) (054)",287,23,223,28,11,2
"Hombres (056)",462,21,235,116,69,21
"Conviviente (057)",89,,29,39,15,6
"Separado(a) (058)",4,,1,2,1,
"Casado(a) (059)",118,,21,49,39,9
"Viudo(a) (060)",8,,1,,3,4
"Soltero(a) (062)",243,21,183,26,11,2
"Mujeres (064)",68,3,42,14,7,2
"Conviviente (065)",5,1,,2,1,1
"Separado(a) (066)",7,,,4,2,1
"Casado(a) (067)",12,,2,6,4,
"Soltero(a) (070)",44,2,40,2,,
