"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN PABLO (000)",5923,5083,339,112,389
"Agric., ganadería, caza y silvicultura (001)",3967,3803,143,17,4
"Explotación de minas y canteras (003)",13,5,5,1,2
"Industrias manufactureras (004)",340,327,9,2,2
"Suministro de electricidad, gas y agua (005)",6,5,,1,
"Construcción (006)",227,139,57,24,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",269,261,7,1,
"Venta, mant.y rep. veh.autom y motoc. (008)",17,17,,,
"Comercio al por mayor (009)",6,6,,,
"Comercio al por menor (010)",246,238,7,1,
"Hoteles y restaurantes (011)",65,57,7,1,
"Trans., almac. y comunicaciones (012)",114,97,5,9,3
"Intermediación financiera (013)",1,,,,1
"Activid.inmobil., empres. y alquileres (014)",38,17,5,7,9
"Admin.pub. y defensa; p. segur soc.afil (015)",111,,,,111
"Enseñanza (016)",471,139,82,38,212
"Servicios sociales y de salud (017)",49,11,2,1,35
"Otras activ. serv.comun.soc y personales (018)",46,38,2,5,1
"Hogares privados con servicio doméstico (019)",75,75,,,
"Actividad economica no especificada (021)",131,109,15,5,2
"Hombres (022)",4604,4017,262,87,238
"Agric., ganadería, caza y silvicultura (023)",3470,3321,130,16,3
"Explotación de minas y canteras (025)",13,5,5,1,2
"Industrias manufactureras (026)",177,166,8,2,1
"Suministro de electricidad, gas y agua (027)",6,5,,1,
"Construcción (028)",222,137,55,23,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",131,129,1,1,
"Venta, mant.y rep. veh.autom y motoc. (030)",15,15,,,
"Comercio al por mayor (031)",4,4,,,
"Comercio al por menor (032)",112,110,1,1,
"Hoteles y restaurantes (033)",13,13,,,
"Trans., almac. y comunicaciones (034)",111,94,5,9,3
"Intermediación financiera (035)",1,,,,1
"Activid.inmobil., empres. y alquileres (036)",25,13,2,5,5
"Admin.pub. y defensa; p. segur soc.afil (037)",91,,,,91
"Enseñanza (038)",249,68,53,23,105
"Servicios sociales y de salud (039)",30,10,1,1,18
"Otras activ. serv.comun.soc y personales (040)",31,26,1,3,1
"Hogares privados con servicio doméstico (041)",4,4,,,
"Actividad economica no especificada (043)",30,26,1,2,1
"Mujeres (044)",1319,1066,77,25,151
"Agric., ganadería, caza y silvicultura (045)",497,482,13,1,1
