"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUANTA (000)",86848,5084,13058,13156,9292,14515,10973,15677,5093
"Sabe leer y escribir (001)",66009,,9114,13013,9163,13861,9125,9818,1915
"No sabe leer y escribir (002)",20839,5084,3944,143,129,654,1848,5859,3178
"Hombres (004)",43028,2562,6640,6734,4798,7400,5371,7341,2182
"Sabe leer y escribir (005)",35617,,4638,6663,4753,7261,4997,5992,1313
"No sabe leer y escribir (006)",7411,2562,2002,71,45,139,374,1349,869
"Mujeres (008)",43820,2522,6418,6422,4494,7115,5602,8336,2911
"Sabe leer y escribir (009)",30392,,4476,6350,4410,6600,4128,3826,602
"No sabe leer y escribir (010)",13428,2522,1942,72,84,515,1474,4510,2309
,,,,,,,,,
"URBANA (012)",40178,2036,5669,6328,4743,6874,5191,7285,2052
"Sabe leer y escribir (013)",33637,,4469,6285,4705,6759,4762,5563,1094
"No sabe leer y escribir (014)",6541,2036,1200,43,38,115,429,1722,958
"Hombres (016)",19524,1015,2895,3171,2425,3395,2436,3331,856
"Sabe leer y escribir (017)",17227,,2264,3146,2409,3370,2361,3014,663
"No sabe leer y escribir (018)",2297,1015,631,25,16,25,75,317,193
"Mujeres (020)",20654,1021,2774,3157,2318,3479,2755,3954,1196
"Sabe leer y escribir (021)",16410,,2205,3139,2296,3389,2401,2549,431
"No sabe leer y escribir (022)",4244,1021,569,18,22,90,354,1405,765
,,,,,,,,,
"RURAL (024)",46670,3048,7389,6828,4549,7641,5782,8392,3041
"Sabe leer y escribir (025)",32372,,4645,6728,4458,7102,4363,4255,821
"No sabe leer y escribir (026)",14298,3048,2744,100,91,539,1419,4137,2220
"Hombres (028)",23504,1547,3745,3563,2373,4005,2935,4010,1326
"Sabe leer y escribir (029)",18390,,2374,3517,2344,3891,2636,2978,650
"No sabe leer y escribir (030)",5114,1547,1371,46,29,114,299,1032,676
"Mujeres (032)",23166,1501,3644,3265,2176,3636,2847,4382,1715
"Sabe leer y escribir (033)",13982,,2271,3211,2114,3211,1727,1277,171
"No sabe leer y escribir (034)",9184,1501,1373,54,62,425,1120,3105,1544
