"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",14153,13579,4252,1563,1351,1250,1952,1414,954,843,574,43647
"De 12 a 14 años (001)",2020,1963,1944,17,2,,,,,,57,21
"De 15 a 19 años (002)",2704,2573,1700,601,189,65,18,,,,131,1246
"De 20 a 24 años (003)",2081,1951,296,480,502,373,251,49,,,130,3989
"De 25 a 29 años (004)",1781,1690,98,209,297,340,503,196,47,,91,5689
"De 30 a 34 años (005)",1278,1244,42,79,129,173,397,287,105,32,34,5719
"De 35 a 39 años (006)",1297,1272,41,56,81,119,308,342,210,115,25,7204
"De 40 a 44 años (007)",786,772,31,27,47,55,165,176,140,131,14,4824
"De 45 a 49 años (008)",687,674,15,28,43,50,115,125,150,148,13,4603
"De 50 y más años (009)",1519,1440,85,66,61,75,195,239,302,417,79,10352
"Conviviente (010)",7387,7121,506,1073,1045,974,1474,1023,588,438,266,29224
"De 12 a 14 años (011)",89,46,34,11,1,,,,,,43,13
"De 15 a 19 años (012)",1012,898,215,445,162,60,16,,,,114,1013
"De 20 a 24 años (013)",1493,1452,89,332,423,337,231,40,,,41,3430
"De 25 a 29 años (014)",1380,1360,48,136,245,282,431,176,42,,20,4854
"De 30 a 34 años (015)",954,944,28,47,84,120,308,240,91,26,10,4557
"De 35 a 39 años (016)",950,940,25,30,52,76,223,271,169,94,10,5585
"De 40 a 44 años (017)",499,491,18,19,25,34,102,119,90,84,8,3109
"De 45 a 49 años (018)",426,421,10,19,30,33,74,78,87,90,5,2831
"De 50 y más años (019)",584,569,39,34,23,32,89,99,109,144,15,3832
"Separado(a) (020)",351,332,8,91,49,37,62,39,23,23,19,1281
"De 12 a 14 años (021)",3,,,,,,,,,,3,
"De 15 a 19 años (022)",51,47,4,36,7,,,,,,4,50
