"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia MELGAR (000)",74735,74146,283,306
"Hombres (001)",36421,36128,135,158
"Mujeres (002)",38314,38018,148,148
"Menores de 1 año (003)",1214,1066,96,52
"Hombres (004)",625,539,56,30
"Mujeres (005)",589,527,40,22
"De 1 a 5 años (006)",8263,7932,90,241
"Hombres (007)",4180,4006,49,125
"Mujeres (008)",4083,3926,41,116
"De 6 a 14 años (009)",17247,17234,8,5
"Hombres (010)",8720,8716,3,1
"Mujeres (011)",8527,8518,5,4
"De 15 a 29 años (012)",18964,18961,2,1
"Hombres (013)",9203,9201,2,
"Mujeres (014)",9761,9760,,1
"De 30 a 44 años (015)",13255,13252,2,1
"Hombres (016)",6232,6231,1,
"Mujeres (017)",7023,7021,1,1
"De 45 a 64 años (018)",10338,10327,10,1
"Hombres (019)",4962,4959,2,1
"Mujeres (020)",5376,5368,8,
"De 65 a más años (021)",5454,5374,75,5
"Hombres (022)",2499,2476,22,1
"Mujeres (023)",2955,2898,53,4
,,,,
"URBANA (024)",35536,35248,140,148
"Hombres (025)",17081,16941,67,73
"Mujeres (026)",18455,18307,73,75
"Menores de 1 año (027)",537,469,45,23
"Hombres (028)",286,249,26,11
"Mujeres (029)",251,220,19,12
"De 1 a 5 años (030)",3662,3485,57,120
"Hombres (031)",1807,1717,29,61
"Mujeres (032)",1855,1768,28,59
"De 6 a 14 años (033)",8354,8347,6,1
"Hombres (034)",4217,4213,3,1
"Mujeres (035)",4137,4134,3,
"De 15 a 29 años (036)",9605,9604,1,
"Hombres (037)",4643,4642,1,
"Mujeres (038)",4962,4962,,
"De 30 a 44 años (039)",6724,6723,,1
"Hombres (040)",3076,3076,,
"Mujeres (041)",3648,3647,,1
"De 45 a 64 años (042)",4453,4451,2,
"Hombres (043)",2125,2124,1,
"Mujeres (044)",2328,2327,1,
"De 65 a más años (045)",2201,2169,29,3
"Hombres (046)",927,920,7,
"Mujeres (047)",1274,1249,22,3
,,,,
"RURAL (048)",39199,38898,143,158
"Hombres (049)",19340,19187,68,85
"Mujeres (050)",19859,19711,75,73
"Menores de 1 año (051)",677,597,51,29
"Hombres (052)",339,290,30,19
"Mujeres (053)",338,307,21,10
"De 1 a 5 años (054)",4601,4447,33,121
"Hombres (055)",2373,2289,20,64
"Mujeres (056)",2228,2158,13,57
"De 6 a 14 años (057)",8893,8887,2,4
"Hombres (058)",4503,4503,,
"Mujeres (059)",4390,4384,2,4
"De 15 a 29 años (060)",9359,9357,1,1
"Hombres (061)",4560,4559,1,
"Mujeres (062)",4799,4798,,1
"De 30 a 44 años (063)",6531,6529,2,
"Hombres (064)",3156,3155,1,
"Mujeres (065)",3375,3374,1,
"De 45 a 64 años (066)",5885,5876,8,1
"Hombres (067)",2837,2835,1,1
"Mujeres (068)",3048,3041,7,
"De 65 a más años (069)",3253,3205,46,2
"Hombres (070)",1572,1556,15,1
"Mujeres (071)",1681,1649,31,1
