"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MAYNAS (000)",168136,116252,18542,14781,18561
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",396,38,107,112,139
"Profes., científicos e intelectuales (002)",15476,3123,2769,4694,4890
"Técnicos de nivel medio y trab. asimilados (003)",8849,3802,1336,1479,2232
"Jefes y empleados de oficina (004)",8756,2041,1274,1667,3774
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",28515,23517,2732,1427,839
"Agricult.trabaj.calif.agrop.y pesqueros (006)",21578,19976,1542,41,19
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",14332,9949,2005,1308,1070
"Obreros construc.,conf.,papel, fab., instr. (008)",18194,14102,1762,1306,1024
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",43095,35078,4132,2004,1881
"Otra (010)",2019,,,,2019
"Ocupación no especificada (011)",6926,4626,883,743,674
"Hombres (012)",108369,73223,13085,9712,12349
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",264,26,66,73,99
"Profes., científicos e intelectuales (014)",7708,1846,1356,2119,2387
"Técnicos de nivel medio y trab. asimilados (015)",5780,2638,926,1012,1204
"Jefes y empleados de oficina (016)",4449,972,589,784,2104
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",13100,9930,1542,941,687
"Agricult.trabaj.calif.agrop.y pesqueros (018)",19106,17666,1384,38,18
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",12211,8063,1858,1253,1037
"Obreros construc.,conf.,papel, fab., instr. (020)",17644,13672,1718,1269,985
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",21912,15793,3016,1662,1441
"Otra (022)",1884,,,,1884
"Ocupación no especificada (023)",4311,2617,630,561,503
"Mujeres (024)",59767,43029,5457,5069,6212
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",132,12,41,39,40
"Profes., científicos e intelectuales (026)",7768,1277,1413,2575,2503
"Técnicos de nivel medio y trab. asimilados (027)",3069,1164,410,467,1028
"Jefes y empleados de oficina (028)",4307,1069,685,883,1670
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",15415,13587,1190,486,152
"Agricult.trabaj.calif.agrop.y pesqueros (030)",2472,2310,158,3,1
