"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHEPEN (000)",26640,17526,3958,3243,1913
"Hombres (001)",18992,12535,3097,2191,1169
"Mujeres (002)",7648,4991,861,1052,744
"De 06 a 14 años (003)",461,263,79,88,31
"Hombres (004)",334,195,59,64,16
"Mujeres (005)",127,68,20,24,15
"De 15 a 29 años (006)",8257,5178,1415,1114,550
"Hombres (007)",6030,3741,1129,796,364
"Mujeres (008)",2227,1437,286,318,186
"De 30 a 44 años (009)",9706,6216,1452,1263,775
"Hombres (010)",6613,4296,1105,783,429
"Mujeres (011)",3093,1920,347,480,346
"De 45 a 64 años (012)",6926,4826,890,698,512
"Hombres (013)",4976,3465,702,484,325
"Mujeres (014)",1950,1361,188,214,187
"De 65 y más años (015)",1290,1043,122,80,45
"Hombres (016)",1039,838,102,64,35
"Mujeres (017)",251,205,20,16,10
,,,,,
"URBANA (018)",22281,14616,3039,2889,1737
"Hombres (019)",15338,10038,2329,1925,1046
"Mujeres (020)",6943,4578,710,964,691
"De 06 a 14 años (021)",362,193,57,83,29
"Hombres (022)",259,142,43,60,14
"Mujeres (023)",103,51,14,23,15
"De 15 a 29 años (024)",6650,4145,1062,969,474
"Hombres (025)",4692,2867,830,687,308
"Mujeres (026)",1958,1278,232,282,166
"De 30 a 44 años (027)",8308,5324,1136,1138,710
"Hombres (028)",5461,3541,844,689,387
"Mujeres (029)",2847,1783,292,449,323
"De 45 a 64 años (030)",5897,4094,691,630,482
"Hombres (031)",4090,2819,533,434,304
"Mujeres (032)",1807,1275,158,196,178
"De 65 y más años (033)",1064,860,93,69,42
"Hombres (034)",836,669,79,55,33
"Mujeres (035)",228,191,14,14,9
,,,,,
"RURAL (036)",4359,2910,919,354,176
"Hombres (037)",3654,2497,768,266,123
"Mujeres (038)",705,413,151,88,53
"De 06 a 14 años (039)",99,70,22,5,2
"Hombres (040)",75,53,16,4,2
"Mujeres (041)",24,17,6,1,
"De 15 a 29 años (042)",1607,1033,353,145,76
"Hombres (043)",1338,874,299,109,56
"Mujeres (044)",269,159,54,36,20
"De 30 a 44 años (045)",1398,892,316,125,65
"Hombres (046)",1152,755,261,94,42
"Mujeres (047)",246,137,55,31,23
"De 45 a 64 años (048)",1029,732,199,68,30
"Hombres (049)",886,646,169,50,21
"Mujeres (050)",143,86,30,18,9
"De 65 y más años (051)",226,183,29,11,3
"Hombres (052)",203,169,23,9,2
"Mujeres (053)",23,14,6,2,1
