"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAMALIES (000)",18368,16052,890,268,1158
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",77,,7,2,68
"Profes., científicos e intelectuales (002)",1050,138,115,133,664
"Técnicos de nivel medio y trab. asimilados (003)",203,76,6,7,114
"Jefes y empleados de oficina (004)",198,16,8,9,165
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",908,873,23,4,8
"Agricult.trabaj.calif.agrop.y pesqueros (006)",6504,6333,169,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",361,321,16,11,13
"Obreros construc.,conf.,papel, fab., instr. (008)",352,277,33,22,20
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",8240,7597,504,74,65
"Otra (010)",34,,,,34
"Ocupación no especificada (011)",441,421,9,4,7
"Hombres (012)",14186,12534,716,182,754
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",58,,7,,51
"Profes., científicos e intelectuales (014)",591,61,59,75,396
"Técnicos de nivel medio y trab. asimilados (015)",128,53,6,6,63
"Jefes y empleados de oficina (016)",134,8,8,5,113
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",353,331,13,4,5
"Agricult.trabaj.calif.agrop.y pesqueros (018)",5915,5759,154,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",307,273,11,10,13
"Obreros construc.,conf.,papel, fab., instr. (020)",350,275,33,22,20
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",6179,5647,421,56,55
"Otra (022)",34,,,,34
"Ocupación no especificada (023)",137,127,4,2,4
"Mujeres (024)",4182,3518,174,86,404
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",19,,,2,17
"Profes., científicos e intelectuales (026)",459,77,56,58,268
"Técnicos de nivel medio y trab. asimilados (027)",75,23,,1,51
"Jefes y empleados de oficina (028)",64,8,,4,52
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",555,542,10,,3
"Agricult.trabaj.calif.agrop.y pesqueros (030)",589,574,15,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",54,48,5,1,
"Obreros construc.,conf.,papel, fab., instr. (032)",2,2,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",2061,1950,83,18,10
