"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUAMANGA (000)",71283,21482,9687,31604,1247,5723,1540
"Sin nivel (001)",4496,140,699,2804,53,697,103
"Educación inicial (002)",120,3,54,36,1,23,3
"Primaria (003)",16765,806,3390,9555,251,2293,470
"Secundaria (004)",23508,4131,4380,11835,396,1979,787
"Superior no univ. incompleta (005)",3666,1438,364,1521,65,184,94
"Superior no univ. completa (006)",6418,4029,311,1795,94,150,39
"Superior univ. incompleta (007)",4737,2235,308,1795,130,236,33
"Superior univ. completa (008)",11573,8700,181,2263,257,161,11
"Hombres (010)",43379,11865,8136,19868,881,2557,72
"Sin nivel (011)",1767,28,413,1158,25,140,3
"Educación inicial (012)",72,,43,22,1,6,
"Primaria (013)",10433,395,2759,6033,178,1047,21
"Secundaria (014)",16100,2633,3895,8139,301,1091,41
"Superior no univ. incompleta (015)",2077,765,311,894,43,62,2
"Superior no univ. completa (016)",3088,1821,271,909,51,35,1
"Superior univ. incompleta (017)",3178,1448,283,1244,93,108,2
"Superior univ. completa (018)",6664,4775,161,1469,189,68,2
"Mujeres (020)",27904,9617,1551,11736,366,3166,1468
"Sin nivel (021)",2729,112,286,1646,28,557,100
"Educación inicial (022)",48,3,11,14,,17,3
"Primaria (023)",6332,411,631,3522,73,1246,449
"Secundaria (024)",7408,1498,485,3696,95,888,746
"Superior no univ. incompleta (025)",1589,673,53,627,22,122,92
"Superior no univ. completa (026)",3330,2208,40,886,43,115,38
"Superior univ. incompleta (027)",1559,787,25,551,37,128,31
"Superior univ. completa (028)",4909,3925,20,794,68,93,9
,,,,,,,
"URBANA (030)",57995,21015,7271,24004,1067,3174,1464
"Sin nivel (031)",2317,119,363,1502,29,211,93
"Educación inicial (032)",42,1,12,18,1,7,3
"Primaria (033)",10261,734,2135,5758,159,1036,439
"Secundaria (034)",19455,3937,3637,9559,337,1230,755
"Superior no univ. incompleta (035)",3534,1409,345,1457,64,167,92
"Superior no univ. completa (036)",6289,3969,300,1747,92,142,39
"Superior univ. incompleta (037)",4649,2219,301,1741,129,227,32
"Superior univ. completa (038)",11448,8627,178,2222,256,154,11
"Hombres (040)",33456,11575,6150,13678,718,1266,69
"Sin nivel (041)",609,24,212,327,7,37,2
"Educación inicial (042)",19,,7,9,1,2,
"Primaria (043)",5460,355,1726,2839,93,428,19
"Secundaria (044)",12698,2496,3217,6145,245,554,41
"Superior no univ. incompleta (045)",1995,754,293,853,42,51,2
"Superior no univ. completa (046)",3000,1785,260,874,49,31,1
"Superior univ. incompleta (047)",3105,1437,277,1195,92,102,2
"Superior univ. completa (048)",6570,4724,158,1436,189,61,2
"Mujeres (050)",24539,9440,1121,10326,349,1908,1395
"Sin nivel (051)",1708,95,151,1175,22,174,91
"Educación inicial (052)",23,1,5,9,,5,3
"Primaria (053)",4801,379,409,2919,66,608,420
"Secundaria (054)",6757,1441,420,3414,92,676,714
"Superior no univ. incompleta (055)",1539,655,52,604,22,116,90
"Superior no univ. completa (056)",3289,2184,40,873,43,111,38
"Superior univ. incompleta (057)",1544,782,24,546,37,125,30
"Superior univ. completa (058)",4878,3903,20,786,67,93,9
,,,,,,,
"RURAL (060)",13288,467,2416,7600,180,2549,76
"Sin nivel (061)",2179,21,336,1302,24,486,10
"Educación inicial (062)",78,2,42,18,,16,
"Primaria (063)",6504,72,1255,3797,92,1257,31
"Secundaria (064)",4053,194,743,2276,59,749,32
"Superior no univ. incompleta (065)",132,29,19,64,1,17,2
"Superior no univ. completa (066)",129,60,11,48,2,8,
"Superior univ. incompleta (067)",88,16,7,54,1,9,1
"Superior univ. completa (068)",125,73,3,41,1,7,
"Hombres (070)",9923,290,1986,6190,163,1291,3
"Sin nivel (071)",1158,4,201,831,18,103,1
"Educación inicial (072)",53,,36,13,,4,
"Primaria (073)",4973,40,1033,3194,85,619,2
"Secundaria (074)",3402,137,678,1994,56,537,
"Superior no univ. incompleta (075)",82,11,18,41,1,11,
"Superior no univ. completa (076)",88,36,11,35,2,4,
"Superior univ. incompleta (077)",73,11,6,49,1,6,
"Superior univ. completa (078)",94,51,3,33,,7,
"Mujeres (080)",3365,177,430,1410,17,1258,73
"Sin nivel (081)",1021,17,135,471,6,383,9
"Educación inicial (082)",25,2,6,5,,12,
"Primaria (083)",1531,32,222,603,7,638,29
"Secundaria (084)",651,57,65,282,3,212,32
"Superior no univ. incompleta (085)",50,18,1,23,,6,2
"Superior no univ. completa (086)",41,24,,13,,4,
"Superior univ. incompleta (087)",15,5,1,5,,3,1
"Superior univ. completa (088)",31,22,,8,1,,
