"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PUERTO INCA (000)",10588,445,4029,3484,2184,446
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",16,,2,6,8,
"Profes., científicos e intelectuales (002)",429,,110,253,65,1
"Técnicos de nivel medio y trab. asimilados (003)",99,,33,41,22,3
"Jefes y empleados de oficina (004)",76,,26,37,13,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",463,5,168,181,96,13
"Agricult. trabaj. calif.agrop. y pesqueros (006)",4894,,1302,1887,1381,324
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",288,2,97,105,72,12
"Obreros construc., conf., papel, fab., instr. (008)",262,1,84,104,67,6
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",3870,437,2126,801,430,76
"Otra (010)",26,,13,13,,
"Ocupación no especificada (011)",165,,68,56,30,11
"Hombres (012)",8586,303,3302,2782,1815,384
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",13,,,5,8,
"Profes., científicos e intelectuales (014)",238,,51,139,47,1
"Técnicos de nivel medio y trab. asimilados (015)",68,,20,28,17,3
"Jefes y empleados de oficina (016)",47,,8,28,11,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",193,1,66,69,47,10
"Agricult. trabaj. calif.agrop. y pesqueros (018)",4585,,1227,1778,1287,293
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",269,1,92,102,63,11
"Obreros construc., conf., papel, fab., instr. (020)",260,1,83,103,67,6
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",2847,300,1729,502,261,55
"Otra (022)",26,,13,13,,
"Ocupación no especificada (023)",40,,13,15,7,5
"Mujeres (024)",2002,142,727,702,369,62
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",3,,2,1,,
"Profes., científicos e intelectuales (026)",191,,59,114,18,
"Técnicos de nivel medio y trab. asimilados (027)",31,,13,13,5,
"Jefes y empleados de oficina (028)",29,,18,9,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",270,4,102,112,49,3
"Agricult. trabaj. calif.agrop. y pesqueros (030)",309,,75,109,94,31
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",19,1,5,3,9,1
"Obreros construc., conf., papel, fab., instr. (032)",2,,1,1,,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",1023,137,397,299,169,21
"Ocupación no especificada (035)",125,,55,41,23,6
