"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PASCO (000)",144874,110696,34178
"Casa independiente (001)",128086,98572,29514
"Departamento en edificio (002)",3006,3006,
"Vivienda en quinta (003)",4010,4010,
"Vivienda en casa de vecindad (004)",4763,4763,
"Choza o cabaña (005)",4584,,4584
"Vivienda improvisada (006)",174,174,
"Local no dest.para hab. humana (007)",180,137,43
"Otro tipo (008)",71,34,37
