"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHUPACA (000)",14757,13864,71,2959,2936,2304,3162,1660,628,144,893,47143
"De 12 a 14 años (001)",12,6,2,4,,,,,,,6,4
"De 15 a 19 años (002)",270,234,3,198,28,5,,,,,36,269
"De 20 a 24 años (003)",1355,1005,9,718,216,50,11,1,,,350,1353
"De 25 a 29 años (004)",1597,1395,11,617,467,223,72,5,,,202,2549
"De 30 a 34 años (005)",1617,1523,4,414,532,326,225,21,1,,94,3554
"De 35 a 39 años (006)",1696,1639,3,246,509,367,400,98,14,2,57,4874
"De 40 a 44 años (007)",1538,1513,3,152,322,373,470,148,38,7,25,5313
"De 45 a 49 años (008)",1304,1286,3,120,228,225,421,203,74,12,18,5161
"De 50 y más años (009)",5368,5263,33,490,634,735,1563,1184,501,123,105,24066
"Conviviente (010)",3603,3471,22,1180,942,572,544,160,42,9,132,8609
"De 12 a 14 años (011)",10,5,2,3,,,,,,,5,3
"De 15 a 19 años (012)",171,143,2,120,18,3,,,,,28,165
"De 20 a 24 años (013)",649,595,4,416,141,29,5,,,,54,805
"De 25 a 29 años (014)",787,769,8,336,255,132,37,1,,,18,1404
"De 30 a 34 años (015)",636,623,2,159,218,131,106,6,1,,13,1482
"De 35 a 39 años (016)",508,505,2,67,164,119,123,24,5,1,3,1490
"De 40 a 44 años (017)",356,353,1,39,67,81,114,42,8,1,3,1261
"De 45 a 49 años (018)",195,194,,10,36,38,66,33,8,3,1,801
"De 50 y más años (019)",291,284,1,30,43,39,93,54,20,4,7,1198
"Separado(a) (020)",1014,1004,4,298,277,155,186,68,13,3,10,2712
"De 15 a 19 años (022)",16,16,,14,2,,,,,,,18
"De 20 a 24 años (023)",75,72,,56,14,2,,,,,3,90
