"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",17816,39769,35729,,905,89.8,2.3
"De 12 a 14 años (001)",1546,10,10,,,100,
"De 15 a 19 años (002)",2464,309,302,89,97.7,28.8,
"De 20 a 24 años (003)",2993,2319,2217,298,95.6,12.9,
"De 25 a 29 años (004)",2369,3669,3505,247,95.5,6.7,
"De 30 a 34 años (005)",1836,4388,4113,137,93.7,3.1,
"De 35 a 39 años (006)",1638,5152,4787,81,92.9,1.6,
"De 40 a 44 años (007)",1207,4821,4404,42,91.4,0.9,
"De 45 a 49 años (008)",936,4445,4035,11,90.8,0.2,
"De 50 y más años (009)",2827,14656,12356,,84.3,,
"PEA (010)",4888,11172,10038,194,89.8,1.7,
"De 12 a 14 años (011)",48,,,,,,
"De 15 a 19 años (012)",516,67,63,18,94,26.9,
"De 20 a 24 años (013)",910,510,490,62,96.1,12.2,
"De 25 a 29 años (014)",753,943,909,52,96.4,5.5,
"De 30 a 34 años (015)",643,1364,1274,33,93.4,2.4,
"De 35 a 39 años (016)",544,1577,1460,15,92.6,1,
"De 40 a 44 años (017)",440,1671,1514,11,90.6,0.7,
"De 45 a 49 años (018)",312,1378,1245,3,90.3,0.2,
"De 50 y más años (019)",722,3662,3083,,84.2,,
"Ocupada (020)",4305,10466,9410,169,89.9,1.6,
"De 12 a 14 años (021)",43,,,,,,
"De 15 a 19 años (022)",394,58,54,15,93.1,25.9,
"De 20 a 24 años (023)",742,440,425,54,96.6,12.3,
"De 25 a 29 años (024)",659,860,828,46,96.3,5.3,
"De 30 a 34 años (025)",584,1260,1178,26,93.5,2.1,
"De 35 a 39 años (026)",495,1477,1362,14,92.2,0.9,
"De 40 a 44 años (027)",410,1574,1422,11,90.3,0.7,
"De 45 a 49 años (028)",291,1285,1169,3,91,0.2,
"De 50 y más años (029)",687,3512,2972,,84.6,,
"Desocupada (030)",583,706,628,25,89,3.5,
"De 12 a 14 años (031)",5,,,,,,
"De 15 a 19 años (032)",122,9,9,3,100,33.3,
"De 20 a 24 años (033)",168,70,65,8,92.9,11.4,
"De 25 a 29 años (034)",94,83,81,6,97.6,7.2,
"De 30 a 34 años (035)",59,104,96,7,92.3,6.7,
"De 35 a 39 años (036)",49,100,98,1,98,1,
