"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LUCANAS (000)",17527,16627,129,2773,2850,2428,3783,2681,1426,557,900,67743
"De 12 a 14 años (001)",36,12,,11,1,,,,,,24,13
"De 15 a 19 años (002)",436,392,7,322,49,10,4,,,,44,466
"De 20 a 24 años (003)",1550,1306,20,767,392,94,30,3,,,244,1977
"De 25 a 29 años (004)",1867,1654,9,588,577,312,147,20,1,,213,3434
"De 30 a 34 años (005)",1832,1721,7,331,509,420,376,72,6,,111,4739
"De 35 a 39 años (006)",1809,1738,7,196,383,387,504,196,61,4,71,6134
"De 40 a 44 años (007)",1680,1631,6,110,236,288,519,325,119,28,49,7104
"De 45 a 49 años (008)",1403,1379,9,95,144,184,411,324,149,63,24,6767
"De 50 y más años (009)",6914,6794,64,353,559,733,1792,1741,1090,462,120,37109
"Sin nivel (010)",4873,4790,46,256,389,461,1279,1275,777,307,83,26223
"De 12 a 14 años (011)",1,1,,1,,,,,,,,1
"De 15 a 19 años (012)",17,17,,12,1,3,1,,,,,27
"De 20 a 24 años (013)",58,49,1,19,15,9,4,1,,,9,100
"De 25 a 29 años (014)",80,73,,10,19,19,20,4,1,,7,229
"De 30 a 34 años (015)",125,120,,10,15,24,46,24,1,,5,473
"De 35 a 39 años (016)",192,188,,15,14,27,57,47,26,2,4,909
"De 40 a 44 años (017)",268,260,,6,20,23,82,72,44,13,8,1454
"De 45 a 49 años (018)",323,318,3,13,13,12,87,103,59,28,5,1925
"De 50 y más años (019)",3809,3764,42,170,292,344,982,1024,646,264,45,21105
"Educacion Inicial (020)",15,14,,2,1,5,3,3,,,1,51
"De 20 a 24 años (023)",1,1,,,1,,,,,,,2
