"CUADRO Nº 16: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia LA UNION",,,
"Viviendas particulares (001)",4671,1910,2761
"Ocupantes presentes (002)",15442,6354,9088
"Casa independiente",,,
"Viviendas particulares (004)",4385,1794,2591
"Ocupantes presentes (005)",14547,6066,8481
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Viviendas particulares (010)",43,43,
"Ocupantes presentes (011)",99,99,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",69,66,3
"Ocupantes presentes (014)",177,166,11
"Choza o cabaña",,,
"Viviendas particulares (016)",159,1,158
"Ocupantes presentes (017)",577,1,576
"Vivienda improvisada",,,
"Viviendas particulares (019)",2,1,1
"Ocupantes presentes (020)",5,3,2
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",11,5,6
"Ocupantes presentes (023)",35,19,16
"Otro tipo",,,
"Viviendas particulares (025)",2,,2
"Ocupantes presentes (026)",2,,2
,,,
URBANA,,,
"Viviendas particulares (028)",2278,1436,842
"Ocupantes presentes (029)",7362,4723,2639
"Casa independiente",,,
"Viviendas particulares (031)",2160,1323,837
"Ocupantes presentes (032)",7064,4439,2625
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Viviendas particulares (037)",43,43,
"Ocupantes presentes (038)",99,99,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",69,66,3
"Ocupantes presentes (041)",177,166,11
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",2,1,1
"Ocupantes presentes (047)",5,3,2
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",3,3,
"Ocupantes presentes (050)",16,16,
"Otro tipo",,,
"Viviendas particulares (052)",1,,1
"Ocupantes presentes (053)",1,,1
,,,
RURAL,,,
"Viviendas particulares (055)",2393,474,1919
"Ocupantes presentes (056)",8080,1631,6449
"Casa independiente",,,
"Viviendas particulares (058)",2225,471,1754
"Ocupantes presentes (059)",7483,1627,5856
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",159,1,158
"Ocupantes presentes (071)",577,1,576
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",8,2,6
"Ocupantes presentes (077)",19,3,16
"Otro tipo",,,
"Viviendas particulares (079)",1,,1
"Ocupantes presentes (080)",1,,1
