"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CASTILLA (000)",37147,21329,15818
"Casa independiente (001)",34506,19700,14806
"Departamento en edificio (002)",99,99,
"Vivienda en quinta (003)",204,204,
"Vivienda en casa de vecindad (004)",1191,1191,
"Choza o cabaña (005)",926,,926
"Vivienda improvisada (006)",60,60,
"Local no dest.para hab. humana (007)",145,63,82
"Otro tipo (008)",16,12,4
