"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia PAUCARTAMBO (000)",30082,5627,5588,6152,5112,3290,4313
"Conviviente (001)",8033,153,2126,2932,1585,707,530
"Separado(a) (002)",492,7,95,131,133,52,74
"Casado(a) (003)",10215,21,461,2386,2987,2104,2256
"Viudo(a) (004)",1921,,25,68,175,326,1327
"Divorciado(a) (005)",101,,15,20,22,17,27
"Soltero(a) (006)",9320,5446,2866,615,210,84,99
"Hombres (008)",15138,2859,2858,3103,2590,1639,2089
"Conviviente (009)",3977,46,839,1551,845,394,302
"Separado(a) (010)",132,,11,23,44,17,37
"Casado(a) (011)",5107,5,159,1098,1507,1070,1268
"Viudo(a) (012)",573,,3,14,46,101,409
"Divorciado(a) (013)",40,,4,5,11,8,12
"Soltero(a) (014)",5309,2808,1842,412,137,49,61
"Mujeres (016)",14944,2768,2730,3049,2522,1651,2224
"Conviviente (017)",4056,107,1287,1381,740,313,228
"Separado(a) (018)",360,7,84,108,89,35,37
"Casado(a) (019)",5108,16,302,1288,1480,1034,988
"Viudo(a) (020)",1348,,22,54,129,225,918
"Divorciado(a) (021)",61,,11,15,11,9,15
"Soltero(a) (022)",4011,2638,1024,203,73,35,38
,,,,,,,
"URBANA (024)",5994,1081,1093,1264,1115,625,816
"Conviviente (025)",1811,22,334,727,458,174,96
"Separado(a) (026)",188,2,31,54,47,24,30
"Casado(a) (027)",1610,4,43,269,492,355,447
"Viudo(a) (028)",296,,5,13,25,43,210
"Divorciado(a) (029)",36,,3,8,11,7,7
"Soltero(a) (030)",2053,1053,677,193,82,22,26
"Hombres (032)",2973,517,542,595,597,326,396
"Conviviente (033)",905,8,113,363,263,102,56
"Separado(a) (034)",45,,3,7,11,9,15
"Casado(a) (035)",811,1,12,105,252,187,254
"Viudo(a) (036)",71,,,,7,11,53
"Divorciado(a) (037)",17,,1,2,6,3,5
"Soltero(a) (038)",1124,508,413,118,58,14,13
"Mujeres (040)",3021,564,551,669,518,299,420
"Conviviente (041)",906,14,221,364,195,72,40
"Separado(a) (042)",143,2,28,47,36,15,15
"Casado(a) (043)",799,3,31,164,240,168,193
"Viudo(a) (044)",225,,5,13,18,32,157
"Divorciado(a) (045)",19,,2,6,5,4,2
"Soltero(a) (046)",929,545,264,75,24,8,13
,,,,,,,
"RURAL (048)",24088,4546,4495,4888,3997,2665,3497
"Conviviente (049)",6222,131,1792,2205,1127,533,434
"Separado(a) (050)",304,5,64,77,86,28,44
"Casado(a) (051)",8605,17,418,2117,2495,1749,1809
"Viudo(a) (052)",1625,,20,55,150,283,1117
"Divorciado(a) (053)",65,,12,12,11,10,20
"Soltero(a) (054)",7267,4393,2189,422,128,62,73
"Hombres (056)",12165,2342,2316,2508,1993,1313,1693
"Conviviente (057)",3072,38,726,1188,582,292,246
"Separado(a) (058)",87,,8,16,33,8,22
"Casado(a) (059)",4296,4,147,993,1255,883,1014
"Viudo(a) (060)",502,,3,14,39,90,356
"Divorciado(a) (061)",23,,3,3,5,5,7
"Soltero(a) (062)",4185,2300,1429,294,79,35,48
"Mujeres (064)",11923,2204,2179,2380,2004,1352,1804
"Conviviente (065)",3150,93,1066,1017,545,241,188
"Separado(a) (066)",217,5,56,61,53,20,22
"Casado(a) (067)",4309,13,271,1124,1240,866,795
"Viudo(a) (068)",1123,,17,41,111,193,761
"Divorciado(a) (069)",42,,9,9,6,5,13
"Soltero(a) (070)",3082,2093,760,128,49,27,25
